 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Stephen Gostkowski	NE	  vs.  NYJ	1	13	1.6068376068376	1.5849574124466		
2	Steven Hauschka	SEA	  at  SF	1	21	3.4824561403509	3.021073517054		
3	Chandler Catanzaro	ARI	  vs.  BAL	1	14	4.1025641025641	2.4820194954523		
4	Adam Vinatieri	IND	  vs.  NO	1	17	4.6260869565217	2.4225781077379		
5	Matt Bryant	ATL	  at  TEN	1	15	4.9230769230769	2.4881045068119		
6	Josh Brown	NYG	  vs.  DAL	1	15	6.6495726495726	2.6028132029611		
7	Justin Tucker	BAL	  at  ARI	1	20	7.2327586206897	3.9465343998656		
8	Josh Lambo	SD	  vs.  OAK	2	20	7.7217391304348	2.8054227801573		
9	Dan Carpenter	BUF	  at  JAC	4	26	10.810344827586	3.6857455922444		
10	Blair Walsh	MIN	  at  DET	1	25	11.552631578947	3.2446774371705		
11	Dan Bailey	DAL	  at  NYG	4	28	12.719298245614	4.3558969345052		
12	Graham Gano	CAR	  vs.  PHI	1	24	12.517543859649	3.5323876328097		
13	Cairo Santos	KC	  vs.  PIT	6	28	14.078947368421	4.1615296125978		
14	Matt Prater	DET	  vs.  MIN	3	25	14.236363636364	3.3109385451238		
15	Nick Folk	NYJ	  at  NE	6	26	15.296296296296	3.369963345386		
16	Dustin Hopkins	WAS	  vs.  TB	5	27	16.297872340426	4.163748789697		
17	Chris Boswell	PIT	  at  KC	4	26	16.511111111111	4.0448717722965		
18	Kai Forbath	NO	  at  IND	4	26	17.088607594937	4.4726733529253		
19	Greg Zuerlein	LA	  	2	28	17.470588235294	4.3347792814266		
20	Caleb Sturgis	PHI	  at  CAR	9	26	16.964912280702	4.8121371124269		
21	Sebastian Janikowski	OAK	  at  SD	3	28	18.114754098361	5.5162899169396		
22	Andrew Franks	MIA	  vs.  HOU	5	27	17.625	5.6812007240254		
23	Travis Coons	CLE	  at  STL	10	28	18.49	4.2883446689836		
24	Nick Novak	HOU	  at  MIA	2	27	19.867924528302	5.6436230028305		
25	Zach Hocker	CIN	  	4	24	15.055555555556	5.720064318036		
26	Phil Dawson	SF	  vs.  SEA	3	28	18.825396825397	4.4276895065417		
27	Ryan Succop	TEN	  vs.  ATL	8	28	21.880952380952	5.4737572233878		
28	Jason Myers	JAC	  vs.  BUF	5	28	21.780487804878	4.9608820769656		
29	Connor Barth	TB	  at  WAS	17	29	25.121212121212	3.0822814824125		
