 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Cam Newton	CAR	  vs.  TB	1	11	1.969696969697	1.5792502085813		
2	Ben Roethlisberger	PIT	  at  CLE	1	9	2.2626262626263	1.5412565946731		
3	Tom Brady	NE	  at  MIA	1	10	3.2222222222222	1.7555427694203		
4	Drew Brees	NO	  at  ATL	1	12	4.979797979798	2.0742763030537		
5	Carson Palmer	ARI	  vs.  SEA	1	18	6.2121212121212	2.4423565672254		
6	Eli Manning	NYG	  vs.  PHI	2	16	6.6161616161616	2.5964508437444		
7	Blake Bortles	JAC	  at  HOU	3	16	8.1010101010101	2.516591206956		
8	Russell Wilson	SEA	  at  ARI	2	22	8.3333333333333	3.0417963857769		
9	Ryan Fitzpatrick	FA		2	16	8.6969696969697	2.5954682551956		
10	Matt Ryan	ATL	  vs.  NO	1	21	9.4444444444444	3.464749534645		
11	Aaron Rodgers	GB	  vs.  MIN	4	15	9.6464646464646	2.3583641450525		
12	Matthew Stafford	DET	  at  CHI	4	15	10.505050505051	2.0955640371539		
13	Sam Bradford	PHI	  at  NYG	2	24	14.282828282828	2.9303028562077		
14	Tyrod Taylor	BUF	  vs.  NYJ	5	21	14.575757575758	2.108620637226		
15	Derek Carr	OAK	  at  KC	10	24	15.989898989899	2.4349929977082		
16	Alex Smith	KC	  vs.  OAK	11	30	16.030303030303	2.7759957552967		
17	Brian Hoyer	CHI	  vs.  DET	6	28	16.021739130435	4.0512431287777		
18	Jay Cutler	CHI	  vs.  DET	13	26	18.917525773196	2.5471637879685		
19	Brock Osweiler	HOU	  vs.  JAC	12	26	19.867346938776	2.4893149418331		
20	AJ McCarron	CIN	  vs.  BAL	14	27	20.197802197802	2.3167795961502		
21	Teddy Bridgewater	MIN	  at  GB	13	29	21.042105263158	2.7450080604759		
22	Kirk Cousins	WAS	  at  DAL	8	33	21.988764044944	5.9179680350122		
23	Philip Rivers	SD	  at  DEN	9	29	21.65625	2.6173624008723		
24	Jameis Winston	TB	  at  CAR	12	30	23.197916666667	2.6165331375166		
25	Ryan Tannehill	MIA	  vs.  NE	15	32	23.25	2.6442102461958		
26	Blaine Gabbert	SF	  vs.  STL	16	31	26.828571428571	2.6724596940509		
27	Ryan Mallett	BAL	  at  CIN	19	33	26.835294117647	2.4487550682098		
28	Zach Mettenberger	TEN	  at  IND	13	31	27.388059701493	3.0759307480151		
29	Austin Davis	CLE	  vs.  PIT	18	35	27.553571428571	3.2122513403327		
30	Brandon Weeden	HOU	  vs.  JAC	20	36	27.6	3.7558842722675		
31	Johnny Manziel	FA		20	52	29.75	12.930100540986		
32	Josh Freeman	FA		23	34	30.071428571429	2.6849923041732		
33	Kellen Moore	DAL	  vs.  WAS	23	32	28.293103448276	1.7715045299528		
34	Case Keenum	LA	  	23	32	29.422222222222	2.0921959637226		
35	Colt McCoy	WAS	  at  DAL	25	35	31.761904761905	2.6530263385113		
36	Stephen Morris	IND	  vs.  TEN	26	32	28.75	2.1650635094611		
37	Robert Griffin	CLE	  vs.  PIT	31	52	38.666666666667	9.4633797110523		
38	Nick Foles	LA	  	31	45	38	7		
39	Ryan Lindley	FA		31	36	32.833333333333	1.4624940645654		
40	Tarvaris Jackson	FA		32	54	40.666666666667	9.5684667296049		
41	Chase Daniel	PHI	  at  NYG	32	49	36.666666666667	5.6174331821176		
42	Matt Moore	MIA	  vs.  NE	33	46	39.5	6.5		
43	Mark Sanchez	DEN	  vs.  SD	34	38	36	2		
44	Drew Stanton	ARI	  vs.  SEA	35	55	45	10		
45	Matt Flynn	FA		35	41	38	3		
46	Ryan Nassib	NYG	  vs.  PHI	36	39	37.5	1.5		
47	Jimmy Garoppolo	NE	  at  MIA	37	40	38.5	1.5		
48	Derek Anderson	CAR	  vs.  TB	38	50	44	6		
49	Dan Orlovsky	DET	  at  CHI	40	48	44	4		
