 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Los Angeles Rams	LA	  	1	298	3.8306451612903	26.536256929752		
2	Seattle Seahawks	SEA	  at  DAL	1	305	5.0241935483871	27.113698391748		
3	Arizona Cardinals	ARI	  at  CLE	1	319	5.5241935483871	28.303785142307		
4	Carolina Panthers	CAR	  vs.  IND	1	340	7.6854838709677	30.016491954957		
5	New York Jets	NYJ	  at  OAK	2	336	8.1129032258065	29.652071047024		
6	Minnesota Vikings	MIN	  at  CHI	4	301	9.3225806451613	26.395426163874		
7	Atlanta Falcons	ATL	  vs.  TB	1	335	10.056451612903	29.420286620431		
8	Green Bay Packers	GB	  at  DEN	2	303	11.264462809917	26.771999865112		
9	New England Patriots	NE	  vs.  MIA	1	390	12.404958677686	34.658565662165		
10	Denver Broncos	DEN	  vs.  GB	3	344	13.016393442623	30.260612176356		
11	Kansas City Chiefs	KC	  vs.  DET	3	345	14.081300813008	30.110256334333		
12	Houston Texans	HOU	  vs.  TEN	2	326	14.025423728814	28.99312071077		
13	Tennessee Titans	TEN	  at  HOU	6	332	16.463414634146	28.741430022224		
14	New York Giants	NYG	  at  NO	6	394	17.549180327869	34.405990342661		
15	Cincinnati Bengals	CIN	  at  PIT	6	359	17.913043478261	32.110560423905		
16	Dallas Cowboys	DAL	  vs.  SEA	4	357	18.793103448276	31.710304330193		
17	Detroit Lions	DET	  at  KC	9	364	19.880341880342	32.048884240792		
18	San Francisco 49ers	SF	  at  STL	2	341	21.423423423423	30.694234441012		
19	New Orleans Saints	NO	  vs.  NYG	10	393	22.644859813084	36.176166144894		
20	Pittsburgh Steelers	PIT	  vs.  CIN	7	373	22.642857142857	35.749482656454		
21	San Diego Chargers	SD	  at  BAL	9	373	26.5	45.238073934832		
22	Miami Dolphins	MIA	  at  NE	8	419	26.910714285714	53.137381510341		
23	Baltimore Ravens	BAL	  vs.  SD	9	360	25.679245283019	46.645501142006		
24	Oakland Raiders	OAK	  vs.  NYJ	8	364	26.240740740741	46.622175293319		
25	Chicago Bears	CHI	  vs.  MIN	13	392	27.909090909091	49.669918728002		
26	Indianapolis Colts	IND	  at  CAR	16	390	29.65306122449	52.133482922679		
27	Cleveland Browns	CLE	  vs.  ARI	5	431	31.352941176471	56.739799473479		
28	Tampa Bay Buccaneers	TB	  at  ATL	16	397	32.651162790698	56.33284956851		
29	Buffalo Bills	BUF	  	27	27	27	0		
30	Philadelphia Eagles	PHI	  	28	28	28	0		
