 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Denver Broncos	DEN	  at  IND	1	9	2.5121951219512	1.7731780006785		
2	New York Jets	NYJ	  vs.  JAC	1	11	3.1951219512195	2.2110532993225		
3	New England Patriots	NE	  vs.  WAS	1	12	3.349593495935	2.0201575235907		
4	Los Angeles Rams	LA	  	1	11	4.2113821138211	1.9222785959196		
5	Atlanta Falcons	ATL	  at  SF	1	20	4.9593495934959	2.654642731566		
6	Cincinnati Bengals	CIN	  vs.  CLE	1	25	5.4333333333333	3.7477400597634		
7	Minnesota Vikings	MIN	  vs.  STL	2	19	7.6585365853659	2.646762920244		
8	Philadelphia Eagles	PHI	  at  DAL	3	21	9.0413223140496	3.0461917539608		
9	Green Bay Packers	GB	  at  CAR	5	18	9.5447154471545	2.1984918427059		
10	Carolina Panthers	CAR	  vs.  GB	2	24	10.131147540984	3.4828639517071		
11	Buffalo Bills	BUF	  vs.  MIA	4	24	11.058333333333	2.910600835261		
12	Dallas Cowboys	DAL	  vs.  PHI	4	20	11.733333333333	2.4957742063113		
13	New York Giants	NYG	  at  TB	4	22	13.463414634146	2.93366410624		
14	Miami Dolphins	MIA	  at  BUF	8	23	14.4	2.583279569333		
15	New Orleans Saints	NO	  vs.  TEN	3	22	14.186440677966	3.3343338534827		
16	Pittsburgh Steelers	PIT	  vs.  OAK	8	21	14.813559322034	2.3359720240894		
17	San Diego Chargers	SD	  vs.  CHI	6	25	16.418803418803	2.8351858686996		
18	Indianapolis Colts	IND	  vs.  DEN	9	25	18.841121495327	2.6125131407272		
19	San Francisco 49ers	SF	  vs.  ATL	8	26	19.373831775701	3.1071920325015		
20	Tennessee Titans	TEN	  at  NO	8	26	19.764705882353	3.3171463952639		
21	Jacksonville Jaguars	JAC	  at  NYJ	11	25	17.885714285714	3.2799950223954		
22	Oakland Raiders	OAK	  at  PIT	14	25	20.409836065574	3.389361607187		
23	Tampa Bay Buccaneers	TB	  vs.  NYG	12	26	20.25	2.9474565306379		
24	Chicago Bears	CHI	  at  SD	16	26	21.641509433962	2.4959918028911		
25	Cleveland Browns	CLE	  at  CIN	7	26	21.32	4.0518637686872		
26	Washington Redskins	WAS	  at  NE	20	26	25.255813953488	1.3310779554655		
