 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Rob Gronkowski	NE	  at  DEN	1	7	1.3720930232558	1.0197261179786		
2	Greg Olsen	CAR	  at  DAL	1	6	2.3629032258065	0.97826935253979		
3	Tyler Eifert	CIN	  vs.  STL	1	8	3.5193798449612	1.5050343177411		
4	Delanie Walker	TEN	  vs.  OAK	1	12	4.6666666666667	1.8856180831641		
5	Jordan Reed	WAS	  vs.  NYG	1	12	5.4651162790698	1.9531191973052		
6	Gary Barnidge	CLE	  vs.  BAL	1	12	5.5793650793651	2.0906184040043		
7	Antonio Gates	SD	  at  JAC	3	15	7.53125	2.324924393932		
8	Travis Kelce	KC	  vs.  BUF	2	28	8.3100775193798	2.8551556783263		
9	Jimmy Graham	SEA	  vs.  PIT	2	18	8.53125	2.4683543986835		
10	Jason Witten	DAL	  vs.  CAR	5	21	11.096774193548	2.7603744335737		
11	Benjamin Watson	BAL	  at  CLE	4	24	13.140625	3.1042671614046		
12	Crockett Gillmore	BAL	  at  CLE	6	24	13.44	3.6119800663902		
13	Brent Celek	PHI	  at  DET	5	39	14.593220338983	5.3508074602694		
14	Julius Thomas	JAC	  vs.  SD	8	24	14.59842519685	3.3089233744449		
15	Zach Miller	CHI	  at  GB	3	27	14.160377358491	4.395831628561		
16	Jacob Tamme	ATL	  vs.  MIN	4	25	16.88188976378	4.2158571544709		
17	Richard Rodgers	GB	  vs.  CHI	11	30	16.892561983471	2.9056845195495		
18	Eric Ebron	DET	  vs.  PHI	9	27	17.641666666667	3.1219540711263		
19	Vernon Davis	FA		8	30	19.412280701754	3.7808645709233		
20	Kyle Rudolph	MIN	  at  ATL	12	30	20.448275862069	3.5168187710952		
21	Charles Clay	BUF	  at  KC	12	28	20.053097345133	3.1365408711735		
22	Coby Fleener	NO	  at  HOU	5	31	21.008620689655	3.7542979729793		
23	Martellus Bennett	NE	  at  DEN	9	77	21.625	21.429754431631		
24	Austin Seferian-Jenkins	TB	  at  IND	11	77	24.5	14.072234285208		
25	Jordan Cameron	MIA	  at  NYJ	13	34	24.209523809524	3.1462607832314		
26	Owen Daniels	FA		8	46	25.68	3.9721027177051		
27	Clive Walford	OAK	  at  TEN	15	38	26.09375	3.9477792412317		
28	Ladarius Green	PIT	  at  SEA	19	31	24.829787234043	2.6442965435158		
29	Zach Miller	FA		9	19	14	5		
30	Will Tye	NYG	  at  WAS	15	36	27.087719298246	3.9880554191823		
31	Darren Fells	ARI	  at  SF	13	40	30.083333333333	3.9991318502339		
32	Cameron Brate	TB	  at  IND	18	47	34.611111111111	8.8702930484529		
33	Ryan Griffin	HOU	  vs.  NO	16	34	28.571428571429	3.9469268162099		
34	Vance McDonald	SF	  vs.  ARI	19	51	28.515151515152	4.5965811545513		
35	Garrett Celek	SF	  vs.  ARI	20	40	30.857142857143	4.9548986274356		
36	Zach Ertz	PHI	  at  DET	21	77	36.25	23.615408105726		
37	Dwayne Allen	IND	  vs.  TB	21	50	31	6.6627439439577		
38	Scott Chandler	FA		21	44	31.268292682927	5.1229964090383		
39	Maxx Williams	BAL	  at  CLE	21	39	34.133333333333	3.621540494811		
40	Jared Cook	GB	  vs.  CHI	22	35	27.75	2.824741876113		
41	Larry Donnell	NYG	  at  WAS	24	77	44	23.508863576674		
42	Anthony Fasano	TEN	  vs.  OAK	24	43	34.421052631579	4.2835768314475		
43	Derek Carrier	WAS	  vs.  NYG	27	52	40.2	8.0927951495965		
44	Mychal Rivera	OAK	  at  TEN	27	43	34.433333333333	4.1447423187562		
45	Brandon Myers	TB	  at  IND	28	55	42.571428571429	7.7801421738229		
46	Jermaine Gresham	ARI	  at  SF	28	47	37.75	5.4302394054038		
47	Lance Kendricks	LA	  	29	45	35.363636363636	4.3749852420058		
48	Virgil Green	DEN	  vs.  NE	32	68	49	13.482498944104		
49	Demetrius Harris	KC	  vs.  BUF	32	64	51.714285714286	11.743865094037		
50	Gavin Escobar	DAL	  vs.  CAR	32	59	43.882352941176	6.8072828901127		
51	Jeff Cumberland	FA		33	70	51.923076923077	9.7148699540885		
52	Luke Willson	SEA	  vs.  PIT	33	48	39.882352941176	3.7867004563367		
53	Troy Niklas	ARI	  at  SF	34	72	50	16.08311744242		
54	Marcedes Lewis	JAC	  vs.  SD	34	57	48.545454545455	7.414526728765		
55	Josh Hill	NO	  at  HOU	35	54	42.722222222222	4.419722911822		
56	Michael Hoomanawanui	NO	  at  HOU	39	59	53.428571428571	6.2073031378287		
57	Rhett Ellison	MIN	  at  ATL	39	56	48	6.1101009266078		
58	Ed Dickson	CAR	  at  DAL	39	55	48	4.5276925690687		
59	Brandon Pettigrew	DET	  vs.  PHI	40	60	50.7	5.5865910893854		
60	Dion Sims	MIA	  at  NYJ	40	53	46.076923076923	3.4743353201958		
61	Chris Gragg	BUF	  at  KC	41	74	48.363636363636	8.6473614186139		
62	Trey Burton	PHI	  at  DET	42	76	58.25	12.457427503301		
63	Kellen Davis	NYJ	  vs.  MIA	43	66	58.5	9.1241437954473		
64	Jim Dray	BUF	  at  KC	43	64	56.833333333333	6.6185765505549		
65	Justin Perillo	GB	  vs.  CHI	44	62	49.777777777778	5.0503636343838		
66	Jerome Cunningham	NYG	  at  WAS	44	51	47.75	2.2220486043289		
67	C.J. Fiedorowicz	HOU	  vs.  NO	46	58	51.5	4.153311931459		
68	Khari Lee	CHI	  at  GB	47	76	59	12.355835328567		
69	Levine Toilolo	ATL	  vs.  MIN	48	65	58.333333333333	5.3124591501697		
70	Craig Stevens	TEN	  vs.  OAK	52	68	59.6	5.2383203414835		
