 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Antonio Brown	PIT	  vs.  IND	1	8	1.8230769230769	1.1666215826736		
2	Julio Jones	ATL	  at  TB	1	9	2.4	1.1475726891675		
3	Odell Beckham Jr.	NYG	  vs.  NYJ	1	9	2.9153846153846	1.5293770244254		
4	DeAndre Hopkins	HOU	  at  BUF	1	9	4.0538461538462	1.6975617739368		
5	Alshon Jeffery	CHI	  vs.  SF	1	16	6.3307692307692	2.1887420396146		
6	Brandon Marshall	NYJ	  at  NYG	3	16	7.1615384615385	2.1187944545964		
7	A.J. Green	CIN	  at  CLE	1	17	7.6538461538462	2.4890886143682		
8	Allen Robinson	JAC	  at  TEN	4	19	8.9076923076923	2.3318733104726		
9	Larry Fitzgerald	ARI	  at  STL	6	22	11.284615384615	2.681086505891		
10	Jarvis Landry	MIA	  vs.  BAL	6	25	12.9	3.1227453404878		
11	Eric Decker	NYJ	  at  NYG	6	28	14.207692307692	4.0205169086845		
12	T.Y. Hilton	IND	  at  PIT	2	30	15.061538461538	3.9705722241237		
13	Demaryius Thomas	DEN	  at  SD	5	41	15.561538461538	4.2262983369772		
14	Amari Cooper	OAK	  vs.  KC	6	29	16.538461538462	3.3584654145649		
15	Mike Evans	TB	  vs.  ATL	7	36	17.084615384615	4.4289860193687		
16	Dez Bryant	DAL	  at  WAS	4	34	17.946153846154	3.9229336323756		
17	Jeremy Maclin	KC	  at  OAK	10	32	20.576923076923	3.770054854968		
18	Emmanuel Sanders	DEN	  at  SD	5	34	21.023076923077	4.7837310585187		
19	Randall Cobb	GB	  at  DET	8	35	19.824	4.0655902400513		
20	Brandon LaFell	CIN	  at  CLE	12	35	22.046153846154	4.6655225421935		
21	Danny Amendola	NE	  vs.  PHI	8	44	22.146153846154	6.9249954606611		
22	Sammy Watkins	BUF	  vs.  HOU	13	33	22.784615384615	3.3740744950615		
23	Michael Crabtree	OAK	  vs.  KC	10	38	23.138461538462	4.1616451002973		
24	Brandin Cooks	NO	  vs.  CAR	17	45	27.761538461538	4.4146675912042		
25	Kamar Aiken	BAL	  at  MIA	5	43	28.884615384615	5.4174001930881		
26	DeSean Jackson	WAS	  vs.  DAL	18	42	29.046153846154	4.2169284090556		
27	John Brown	ARI	  at  STL	18	56	30.046153846154	4.9113080483271		
28	Donte Moncrief	IND	  at  PIT	18	53	30.530769230769	5.058410302941		
29	Steve Johnson	SD	  vs.  DEN	22	44	31.223076923077	4.5712569969916		
30	Vincent Jackson	TB	  vs.  ATL	19	48	32.530769230769	4.1122489851633		
31	Travis Benjamin	SD	  vs.  DEN	21	46	32.884615384615	5.0224643282948		
32	Golden Tate	DET	  vs.  GB	6	49	32.926829268293	5.7652882393724		
33	Doug Baldwin	SEA	  at  MIN	17	55	36.238461538462	6.2076923076923		
34	Jordan Matthews	PHI	  at  NE	15	62	36.576923076923	5.7376829746126		
35	Anquan Boldin	FA		23	87	38.426356589147	8.049050397839		
36	Marvin Jones	DET	  vs.  GB	22	57	39.115384615385	5.5783022167414		
37	Stefon Diggs	MIN	  vs.  SEA	29	56	39.469230769231	4.7070952361441		
38	Michael Floyd	ARI	  at  STL	27	61	40.28125	5.3995623375881		
39	Tavon Austin	LA	  	24	64	40.930769230769	5.7515061058133		
40	Devante Parker	MIA	  vs.  BAL	22	61	41.293650793651	6.9910004056434		
41	James Jones	FA		18	63	40.72131147541	5.7648771119685		
42	Kendall Wright	TEN	  vs.  JAC	21	53	42.209677419355	4.8829429808269		
43	Davante Adams	GB	  at  DET	24	72	43.304	6.2420817040471		
44	Devin Funchess	CAR	  at  NO	24	75	45.248062015504	6.490339879243		
45	Ted Ginn	CAR	  at  NO	23	64	45.64	6.0005333096317		
46	Rueben Randle	PHI	  at  NE	34	69	48.584	3.8888229581713		
47	Cecil Shorts	HOU	  at  BUF	35	66	49.877192982456	4.2922622156236		
48	Nate Washington	NE	  vs.  PHI	20	67	51.28813559322	5.541984125691		
49	Dontrelle Inman	SD	  vs.  DEN	32	79	52.773913043478	6.7541431659006		
50	Pierre Garcon	WAS	  vs.  DAL	41	69	53.284552845528	4.4839738567503		
51	Tyler Lockett	SEA	  at  MIN	33	88	55.508771929825	6.9031465162763		
52	Terrance Williams	DAL	  at  WAS	42	76	55.927272727273	5.5361770382049		
53	Brian Hartline	CLE	  vs.  CIN	30	82	56.686274509804	9.0108653282501		
54	Markus Wheaton	PIT	  vs.  IND	39	99	57.099099099099	7.8762443089078		
55	Jamison Crowder	WAS	  vs.  DAL	37	89	57.943925233645	7.6180206614414		
56	Chris Givens	PHI	  at  NE	37	74	57.973684210526	5.0843076885852		
57	Dorial Green-Beckham	TEN	  vs.  JAC	47	85	59.168224299065	7.2993226946174		
58	Marques Colston	FA		32	79	61.49	10.333919875826		
59	Willie Snead	NO	  vs.  CAR	33	148	52.133333333333	19.186337731718		
60	Jermaine Kearse	FA		47	74	58.91	4.6326989973449		
61	Roddy White	FA		34	79	63.158415841584	8.0354815553939		
62	Dwayne Harris	NYG	  vs.  NYJ	41	76	62.264150943396	6.3621846947746		
63	Keshawn Martin	NE	  vs.  PHI	42	108	62.236559139785	8.4527756457551		
64	Marqise Lee	JAC	  at  TEN	35	88	68.705882352941	10.915529713547		
65	Torrey Smith	SF	  at  CHI	41	98	64.989690721649	8.8183207197696		
66	Jerricho Cotchery	FA		38	94	65.804347826087	8.1497387667319		
67	Kenny Stills	MIA	  vs.  BAL	41	93	64.247058823529	8.1787470381585		
68	Allen Hurns	JAC	  at  TEN	21	148	57.875	35.959830019064		
69	Robert Woods	BUF	  vs.  HOU	48	77	65.461538461538	5.9645153857612		
70	Cole Beasley	DAL	  at  WAS	37	93	73.183908045977	9.5827056093852		
71	Seth Roberts	OAK	  vs.  KC	44	105	68.279069767442	7.9382078154149		
72	Marquess Wilson	CHI	  vs.  SF	42	148	63.888888888889	30.65740600915		
73	Mohamed Sanu	ATL	  at  TB	29	95	73.083333333333	13.240038183899		
74	Bryan Walters	FA		39	106	77.59649122807	11.05942425633		
75	Josh Bellamy	CHI	  vs.  SF	46	123	79.931034482759	20.412861115724		
76	Brandon Coleman	NO	  vs.  CAR	47	108	73.28125	13.816282004848		
77	Mike Wallace	BAL	  at  MIA	42	98	72.877777777778	8.359728567866		
78	Andre Johnson	FA		49	99	71.247311827957	7.8667066437546		
79	Rishard Matthews	TEN	  vs.  JAC	30	81	61.888888888889	13.13557040545		
80	Chris Conley	KC	  at  OAK	32	118	84.478260869565	19.388184580389		
81	Philly Brown	CAR	  at  NO	43	105	77.094339622642	9.5921826483928		
82	Harry Douglas	TEN	  vs.  JAC	51	84	71.844444444444	5.9812876932259		
83	Albert Wilson	KC	  at  OAK	48	92	77.115942028986	7.9117161917051		
84	J.J. Nelson	ARI	  at  STL	51	121	76.932432432432	10.421302352965		
85	Rashad Greene	JAC	  at  TEN	47	94	77.758064516129	7.9993658697686		
86	Kenny Britt	LA	  	54	86	73.414634146341	6.8306183334579		
87	Jaron Brown	ARI	  at  STL	58	137	87.25641025641	16.047554248861		
88	Devin Street	DAL	  at  WAS	59	137	94.444444444444	22.740620098606		
89	Chris Hogan	NE	  vs.  PHI	59	96	78.760563380282	6.561657272479		
90	Eddie Royal	CHI	  vs.  SF	59	90	79.25	12.457427503301		
91	Brian Quick	LA	  	60	144	83.885245901639	11.497823544089		
92	Andrew Hawkins	CLE	  vs.  CIN	62	148	96.25	31.68891762115		
93	Marc Mariani	CHI	  vs.  SF	62	124	88.944444444444	13.351954589423		
94	Jeff Janis	GB	  at  DET	62	121	97.933333333333	19.964858014911		
95	Nelson Agholor	PHI	  at  NE	62	97	79.9	8.2939737158976		
96	Griff Whalen	MIA	  vs.  BAL	64	100	86.176470588235	9.9896139836959		
97	Jeremy Butler	BAL	  at  MIA	65	131	85	13.814561348923		
98	Corey Fuller	DET	  vs.  GB	65	126	91.714285714286	14.523028862704		
99	Marlon Moore	CLE	  vs.  CIN	65	116	100	18.867962264113		
100	Josh Huff	PHI	  at  NE	65	104	85.769230769231	8.7455821476098		
101	Cody Latimer	DEN	  at  SD	67	124	93.04347826087	15.754856424137		
102	Jarius Wright	MIN	  vs.  SEA	67	100	85.333333333333	9.9554563487121		
103	Lance Moore	FA		68	148	82.451612903226	13.377493640747		
104	Jared Abbrederis	GB	  at  DET	68	128	92.583333333333	17.114605523418		
105	Justin Hardy	ATL	  at  TB	69	125	93.6	11.434159348199		
