 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Adrian Peterson	RB1	MIN	  at  ATL	1	15	1.4019607843137	1.6465043417743		
2	DeAndre Hopkins	WR1	HOU	  vs.  NO	1	10	4.1844660194175	1.5872524518591		
3	Todd Gurley	RB2	LA	  	1	24	3.5686274509804	3.6367131354885		
4	Doug Martin	RB3	TB	  at  IND	2	21	5.421568627451	3.5325829979559		
5	Julio Jones	WR2	ATL	  vs.  MIN	2	25	8.3203883495146	3.2297572490854		
6	Odell Beckham Jr.	WR3	NYG	  at  WAS	2	43	9.0776699029126	4.5829767754207		
7	Thomas Rawls	RB4	SEA	  vs.  PIT	2	22	8.156862745098	4.3964002610853		
8	DeMarco Murray	RB5	TEN	  vs.  OAK	2	46	9.3823529411765	7.7092306750364		
9	Jonathan Stewart	RB6	CAR	  at  DAL	2	34	11.039215686275	5.9884227663041		
10	Darren McFadden	RB7	DAL	  vs.  CAR	2	29	11.205882352941	6.0412604763428		
11	Mark Ingram	RB8	NO	  at  HOU	2	34	12.049019607843	6.0006167182728		
12	Antonio Brown	WR4	PIT	  at  SEA	2	33	13.466019417476	5.0044941627367		
13	LeSean McCoy	RB9	BUF	  at  KC	2	31	13.5	5.032735972863		
14	Chris Ivory	RB10	JAC	  vs.  SD	2	40	14.803921568627	7.8790354934836		
15	T.J. Yeldon	RB11	JAC	  vs.  SD	2	51	14.980392156863	7.8227676664886		
16	Larry Fitzgerald	WR5	ARI	  at  SF	3	38	17.067961165049	4.8676904591663		
17	Rob Gronkowski	TE1	NE	  at  DEN	10	57	17.68932038835	11.318881146647		
18	Allen Robinson	WR6	JAC	  vs.  SD	8	35	20.097087378641	4.3410762459265		
19	DeAngelo Williams	RB12	PIT	  at  SEA	3	54	22.558823529412	10.037745947869		
20	Mike Evans	WR7	TB	  at  IND	4	84	24.233009708738	8.816581777686		
21	Chris Johnson	RB13	ARI	  at  SF	5	56	23.21568627451	9.0419799269638		
22	Javorius Allen	RB14	BAL	  at  CLE	6	54	24.323529411765	8.9214016360153		
23	Demaryius Thomas	WR8	DEN	  vs.  NE	10	49	26.669902912621	6.0585947127603		
24	Brandon Marshall	WR9	NYJ	  vs.  MIA	10	50	27.359223300971	5.7906090176075		
25	Eddie Lacy	RB15	GB	  vs.  CHI	9	88	28.176470588235	13.03269776649		
26	Dez Bryant	WR10	DAL	  vs.  CAR	11	89	29.563106796117	9.1563229815244		
27	Latavius Murray	RB16	OAK	  at  TEN	8	70	29.186274509804	9.627096555115		
28	A.J. Green	WR11	CIN	  vs.  STL	12	56	31.466019417476	7.2014231791673		
29	Lamar Miller	RB17	HOU	  vs.  NO	11	64	30.578431372549	9.4427441534361		
30	Eric Decker	WR12	NYJ	  vs.  MIA	14	74	32.932038834951	7.1736602022622		
31	Amari Cooper	WR13	OAK	  at  TEN	7	53	34.611650485437	6.6130688640124		
32	Brandin Cooks	WR14	NO	  at  HOU	12	52	35.708737864078	6.9164656050085		
33	Randall Cobb	WR15	GB	  vs.  CHI	12	65	36.233009708738	7.4627929953314		
34	Greg Olsen	TE2	CAR	  at  DAL	12	60	37.058252427184	9.1797849274872		
35	Alshon Jeffery	WR16	CHI	  at  GB	12	100	39.960784313725	13.157359506709		
36	LeGarrette Blount	RB18	NE	  at  DEN	11	78	40.21568627451	12.259152204142		
37	Matt Forte	RB19	NYJ	  vs.  MIA	9	99	39.277227722772	16.85178182657		
38	Spencer Ware	RB20	KC	  vs.  BUF	3	109	39.326732673267	22.550321685875		
39	Jarvis Landry	WR17	MIA	  at  NYJ	22	85	43.281553398058	8.3252073366737		
40	Michael Crabtree	WR18	OAK	  at  TEN	23	68	43.650485436893	7.000289505614		
41	Tyler Eifert	TE3	CIN	  vs.  STL	5	68	44.776699029126	10.809858893518		
42	Frank Gore	RB21	IND	  vs.  TB	19	85	44.029411764706	13.250568528205		
43	Giovani Bernard	RB22	CIN	  vs.  STL	9	75	44.490196078431	11.065531271227		
44	Allen Hurns	WR19	JAC	  vs.  SD	24	76	45.572815533981	7.448987605347		
45	Alfred Blue	RB23	HOU	  vs.  NO	3	121	46.637254901961	16.612533194281		
46	T.Y. Hilton	WR20	IND	  vs.  TB	25	77	51.038834951456	7.8244356229328		
47	Delanie Walker	TE4	TEN	  vs.  OAK	12	96	51.320388349515	11.015623143846		
48	Tevin Coleman	RB24	ATL	  vs.  MIN	21	109	51.421568627451	25.613046719305		
49	Steve Johnson	WR21	SD	  at  JAC	30	103	53.52427184466	9.1501442083115		
50	Ronnie Hillman	RB25	DEN	  vs.  NE	26	117	53.549019607843	12.851815657933		
51	Stefon Diggs	WR22	MIN	  at  ATL	28	88	54.553398058252	10.347109868362		
52	Sammy Watkins	WR23	BUF	  at  KC	25	93	55.922330097087	11.33401900491		
53	Jordan Reed	TE5	WAS	  vs.  NYG	11	96	56.097087378641	13.384177416221		
54	DeSean Jackson	WR24	WAS	  vs.  NYG	28	88	58.058252427184	11.64676315942		
55	Danny Woodhead	RB26	SD	  at  JAC	14	86	57.411764705882	14.404079583594		
56	Antonio Andrews	RB27	TEN	  vs.  OAK	28	90	58.480392156863	12.723091861371		
57	Gary Barnidge	TE6	CLE	  vs.  BAL	13	96	57.46	11.904133735808		
58	Vincent Jackson	WR25	TB	  at  IND	33	95	61.796116504854	10.352392175406		
59	Brandon LaFell	WR26	CIN	  vs.  STL	31	109	62.26213592233	13.631745619755		
60	John Brown	WR27	ARI	  at  SF	42	89	61.833333333333	9.6091085601247		
61	Antonio Gates	TE7	SD	  at  JAC	38	104	64.495145631068	11.444991940267		
62	Jeremy Maclin	WR28	KC	  vs.  BUF	27	102	65.621359223301	10.83066171127		
63	Golden Tate	WR29	DET	  vs.  PHI	10	126	65.902912621359	15.06781728487		
64	Emmanuel Sanders	WR30	DEN	  vs.  NE	35	103	66.029126213592	14.129399433901		
65	Travis Benjamin	WR31	SD	  at  JAC	21	125	62.656565656566	17.191236677689		
66	James Jones	WR32	FA		39	109	66.271844660194	11.288962024363		
67	Jeremy Hill	RB28	CIN	  vs.  STL	22	106	66.235294117647	12.751913713042		
68	Davante Adams	WR33	GB	  vs.  CHI	28	116	67.368932038835	13.125969435312		
69	Jimmy Graham	TE8	SEA	  vs.  PIT	35	108	70.26213592233	13.205589552831		
70	Travis Kelce	TE9	KC	  vs.  BUF	37	108	69.676470588235	12.409801443092		
71	Jeremy Langford	RB29	CHI	  at  GB	26	113	71.168316831683	18.522167242123		
72	Shaun Draughn	RB30	SF	  vs.  ARI	24	138	72.588235294118	13.098684967057		
73	Jordan Matthews	WR34	PHI	  at  DET	46	123	74.533980582524	13.620954398208		
74	Kamar Aiken	WR35	BAL	  at  CLE	36	119	76.28431372549	12.853913305843		
75	Matt Jones	RB31	WAS	  vs.  NYG	40	121	79.411764705882	11.60236025783		
76	Michael Floyd	WR36	ARI	  at  SF	27	116	79.940594059406	17.099488604581		
