 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Jamaal Charles	KC	  at  CIN	1	6	2.3405797101449	1.0597810603234		
2	Le'Veon Bell	PIT	  vs.  BAL	1	10	1.8646616541353	1.4907330531983		
3	Matt Forte	NYJ	  at  MIA	1	10	3.8913043478261	1.8005022753677		
4	Adrian Peterson	MIN	  at  DEN	1	12	4.3913043478261	2.0622022230668		
5	Eddie Lacy	GB	  at  SF	1	18	4.9347826086957	2.3902171441564		
6	Latavius Murray	OAK	  at  CHI	1	16	5.2101449275362	2.2568828655584		
7	Frank Gore	IND	  vs.  JAC	3	19	9.036231884058	3.010631933977		
8	Mark Ingram	NO	  vs.  DAL	1	25	9.4275362318841	2.501847668411		
9	Karlos Williams	BUF	  vs.  NYG	3	44	9.4855072463768	4.3576278403364		
10	Joseph Randle	FA		3	26	10.688405797101	3.9098551154403		
11	Devonta Freeman	ATL	  vs.  HOU	1	28	11.876811594203	4.0619351755414		
12	Carlos Hyde	SF	  vs.  GB	6	27	12.557971014493	3.375139537517		
13	Melvin Gordon	SD	  vs.  CLE	6	31	13.789855072464	4.1274143545758		
14	Jeremy Hill	CIN	  vs.  KC	7	40	16.927536231884	4.9279411598328		
15	Jonathan Stewart	CAR	  at  TB	9	37	18.31884057971	4.765494191333		
16	Chris Ivory	JAC	  at  IND	8	35	18.434782608696	4.8393862973883		
17	Justin Forsett	BAL	  at  PIT	7	35	17.827067669173	4.2963724481783		
18	Arian Foster	FA		4	41	16.899224806202	7.4655227818838		
19	Giovani Bernard	CIN	  vs.  KC	10	33	19.782608695652	4.02841201215		
20	T.J. Yeldon	JAC	  at  IND	11	34	20.195652173913	4.3686277745581		
21	C.J. Anderson	DEN	  vs.  MIN	7	37	20.992753623188	4.5116537936539		
22	Danny Woodhead	SD	  vs.  CLE	13	37	24.065217391304	4.509581621616		
23	Lamar Miller	HOU	  at  ATL	17	38	25.536231884058	4.236075946497		
24	Chris Johnson	ARI	  vs.  STL	8	57	25.257352941176	7.4032945006712		
25	Matt Jones	WAS	  vs.  PHI	11	38	26.550724637681	4.5238057336141		
26	Isaiah Crowell	CLE	  at  SD	12	51	27.739130434783	5.2987616106195		
27	Ryan Mathews	PHI	  at  WAS	13	55	28.086956521739	7.6086128359882		
28	DeMarco Murray	TEN	  	8	53	27.206106870229	8.7498899074879		
29	Ameer Abdullah	DET	  at  SEA	15	43	28.45652173913	5.1077088161892		
30	Alfred Morris	DAL	  at  NO	16	51	29.586956521739	5.3605216338072		
31	Thomas Rawls	SEA	  vs.  DET	9	58	30.135338345865	11.37321874338		
32	Doug Martin	TB	  vs.  CAR	17	49	31.123188405797	4.7049971870045		
33	Darren Sproles	PHI	  at  WAS	13	51	33.85401459854	5.1637989551707		
34	Todd Gurley	LA	  	19	48	34.21897810219	4.982766400256		
35	Lance Dunbar	DAL	  at  NO	16	60	36.251851851852	6.6518930956405		
36	Ronnie Hillman	DEN	  vs.  MIN	17	49	36.927536231884	4.7983053789392		
37	Shane Vereen	NYG	  at  BUF	19	62	38.147058823529	5.6144894112894		
38	Bilal Powell	NYJ	  at  MIA	24	55	38.679104477612	5.3106493212191		
39	Rashad Jennings	NYG	  at  BUF	24	58	39.382352941176	5.4274070609126		
40	C.J. Spiller	NO	  vs.  DAL	20	51	39.566176470588	5.5884626501738		
41	Alfred Blue	HOU	  at  ATL	13	63	40.19696969697	7.1556709804811		
42	Duke Johnson	CLE	  at  SD	25	53	40.810218978102	5.5454760238965		
43	Andre Ellington	ARI	  vs.  STL	20	108	41.322580645161	9.8836361885701		
44	David Johnson	ARI	  vs.  STL	28	72	43.1796875	6.8470267198503		
45	Darren McFadden	DAL	  at  NO	35	67	46.225806451613	4.3344804906504		
46	Tre Mason	LA	  	35	66	46.77519379845	4.186060867044		
47	Charles Sims	TB	  vs.  CAR	31	72	47.059322033898	4.9664849160868		
48	James Starks	GB	  at  SF	30	62	48.720338983051	5.6761254289427		
49	Theo Riddick	DET	  at  SEA	28	69	50.269230769231	6.9257473482189		
50	Lorenzo Taliaferro	BAL	  at  PIT	29	64	50.078431372549	5.8236944586105		
51	Fred Jackson	FA		28	64	50.428571428571	5.7658388773173		
52	Andre Williams	NYG	  at  BUF	34	61	51.109090909091	5.5273624394633		
53	Reggie Bush	FA		25	72	55.220779220779	8.9451770021955		
54	DeAngelo Williams	PIT	  vs.  BAL	34	92	53.854545454545	7.5267237393127		
55	Khiry Robinson	NYJ	  at  MIA	36	76	53.915887850467	5.1503044013606		
56	Josh Robinson	IND	  vs.  JAC	32	74	56.80487804878	6.8475365418846		
57	Benny Cunningham	LA	  	36	76	57.924731182796	6.0272438094447		
58	Joique Bell	FA		37	58	48.384615384615	5.9812329773212		
59	Knile Davis	KC	  at  CIN	42	75	57.03125	5.6392470038857		
60	Anthony Dixon	FA		41	74	59.861111111111	7.543034968977		
61	Christine Michael	SEA	  vs.  DET	29	85	64.348837209302	11.762936907696		
62	Chris Thompson	WAS	  vs.  PHI	34	73	59.422535211268	6.3260293307754		
63	Mike Tolbert	CAR	  at  TB	21	71	59.948717948718	7.0345255446544		
64	Zach Zenner	DET	  at  SEA	40	86	59.631578947368	9.6666029863856		
65	Chris Polk	FA		42	78	57.693181818182	7.2634795608289		
66	Jonas Gray	JAC	  at  IND	42	76	63.845070422535	6.3593070030013		
67	Damien Williams	MIA	  vs.  NYJ	40	74	63.936708860759	7.0627239915673		
68	Cameron Artis-Payne	CAR	  at  TB	41	95	64.202898550725	8.9775560893561		
69	Marcel Reece	OAK	  at  CHI	46	77	63.317073170732	5.554339215118		
70	Javorius Allen	BAL	  at  PIT	46	81	66.736842105263	5.0973894790751		
71	Terron Ward	ATL	  vs.  HOU	48	80	65.553571428571	6.5979424359231		
72	LeSean McCoy	BUF	  vs.  NYG	49	49	49	0		
73	Mike Davis	SF	  vs.  GB	52	90	65.4375	6.9158822346345		
74	Jeremy Langford	CHI	  vs.  OAK	55	86	72.315789473684	6.9437789770408		
75	Branden Oliver	SD	  vs.  CLE	55	79	67.74	5.3471861759247		
76	Jerick McKinnon	MIN	  at  DEN	55	74	66.552631578947	5.0922922582284		
77	Juwan Thompson	DEN	  vs.  MIN	56	87	73	10.476163419878		
78	Fozzy Whittaker	CAR	  at  TB	56	85	68.961538461538	8.4283439801969		
79	Roy Helu	OAK	  at  CHI	57	87	67.888888888889	8.0614920654298		
80	John Kuhn	FA		59	95	83.166666666667	12.628231159676		
81	Matt Asiata	MIN	  at  DEN	59	80	71.947368421053	5.5675155964665		
82	Rex Burkhead	CIN	  vs.  KC	60	92	83.142857142857	9.8333045082017		
83	Jacquizz Rodgers	CHI	  vs.  OAK	60	75	67.041666666667	4.0153784241201		
84	Jonathan Grimes	HOU	  at  ATL	60	65	63.5	2.0615528128088		
85	Bernard Pierce	FA		61	86	72	6.4569580835179		
86	Dri Archer	NYJ	  at  MIA	61	72	66.5	5.5		
87	Zac Stacy	NYJ	  at  MIA	62	98	77.307692307692	11.248142515952		
88	Toby Gerhart	FA		62	72	67.388888888889	3.1116071033201		
89	Kyle Juszczyk	BAL	  at  PIT	64	85	75.090909090909	5.8068070627896		
90	Patrick DiMarco	ATL	  vs.  HOU	66	94	75	8.734169352933		
91	Corey Grant	JAC	  at  IND	67	86	78.5	6.1846584384265		
92	Taiwan Jones	OAK	  at  CHI	68	78	73.222222222222	3.1894889098683		
93	Jerome Felton	BUF	  vs.  NYG	71	100	88	9.6263527187958		
94	Jarryd Hayne	SF	  vs.  GB	72	99	85.75	8.4224402639615		
95	Bobby Rainey	NYG	  at  BUF	72	88	80.6	4.9436828377233		
96	Tevin Coleman	ATL	  vs.  HOU	73	75	73.666666666667	0.94280904158206		
97	Charcandrick West	KC	  at  CIN	78	103	91.333333333333	10.274023338282		
98	Austin Johnson	NO	  vs.  DAL	78	89	83.666666666667	4.4969125210773		
99	Bruce Miller	SF	  vs.  GB	84	94	89.5	4.153311931459		
100	Zurlon Tipton	FA		85	97	90.25	4.3229041164476		
101	Darrel Young	FA		88	96	93	3.5590260840104		
102	Stepfan Taylor	ARI	  vs.  STL	89	96	92.5	3.5		
103	Anthony Sherman	KC	  at  CIN	90	96	93.666666666667	2.6246692913373		
104	Shaun Draughn	SF	  vs.  GB	90	91	90.5	0.5		
105	Jay Prosch	HOU	  at  ATL	91	100	95.5	4.5		
106	Zach Line	MIN	  at  DEN	92	97	94.5	2.5		
107	Michael Burton	DET	  at  SEA	93	101	97	4		
108	Derrick Coleman	SEA	  vs.  DET	93	97	95	2		
109	Tommy Bohanon	NYJ	  at  MIA	98	99	98.5	0.5		
