 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Denver Broncos	DEN	  at  CLE	1	8	1.432	1.0302310420483		
2	New York Jets	NYJ	  vs.  WAS	1	10	2.5365853658537	1.7026649744064		
3	Arizona Cardinals	ARI	  at  PIT	1	15	4.048	2.392842660937		
4	Seattle Seahawks	SEA	  vs.  CAR	1	11	4.2	1.779887636903		
5	Cincinnati Bengals	CIN	  at  BUF	2	19	5.2	2.1503488089145		
6	Green Bay Packers	GB	  vs.  SD	2	14	6.48	2.137662274542		
7	Minnesota Vikings	MIN	  vs.  KC	3	23	8.792	3.2305937534763		
8	New England Patriots	NE	  at  IND	1	19	8.2786885245902	2.8378654385375		
9	Carolina Panthers	CAR	  at  SEA	1	23	9.6422764227642	3.2911067189907		
10	Baltimore Ravens	BAL	  at  SF	1	23	10.536	3.729973726449		
11	Buffalo Bills	BUF	  vs.  CIN	4	25	11.926829268293	3.1729823156974		
12	Houston Texans	HOU	  at  JAC	4	25	12.346774193548	3.6545251552427		
13	Detroit Lions	DET	  vs.  CHI	4	24	14.631147540984	3.5325206244038		
14	Philadelphia Eagles	PHI	  vs.  NYG	5	22	14.458333333333	2.8893362367314		
15	New York Giants	NYG	  at  PHI	6	26	14.663865546218	4.023622079344		
16	Tennessee Titans	TEN	  vs.  MIA	3	27	15.491525423729	4.2441300693975		
17	Jacksonville Jaguars	JAC	  vs.  HOU	4	25	16.888888888889	3.5800438754361		
18	Washington Redskins	WAS	  at  NYJ	8	26	17.350877192982	3.7110136132262		
19	Cleveland Browns	CLE	  vs.  DEN	5	25	18.079646017699	3.2861780606623		
20	Kansas City Chiefs	KC	  at  MIN	9	24	18.02752293578	3.1374000677717		
21	Miami Dolphins	MIA	  at  TEN	6	24	17.68	3.9163248077758		
22	Atlanta Falcons	ATL	  at  NO	7	30	17.676923076923	5.6977936142867		
23	Chicago Bears	CHI	  at  DET	6	28	20.030769230769	4.1434628058749		
24	Pittsburgh Steelers	PIT	  vs.  ARI	12	28	22.452830188679	3.5690812608619		
25	San Francisco 49ers	SF	  vs.  BAL	8	28	22.307692307692	4.1673569447943		
26	San Diego Chargers	SD	  at  GB	20	28	25.522727272727	1.8151964126587		
27	New Orleans Saints	NO	  vs.  ATL	15	29	25.615384615385	3.0095181027941		
28	Indianapolis Colts	IND	  vs.  NE	23	28	26.585365853659	1.4811928244575		
29	Los Angeles Rams	LA	  	27	27	27	0		
30	Dallas Cowboys	DAL	  	28	28	28	0		
