 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Julio Jones	ATL	  at  JAC	1	15	2.0077519379845	1.9785521447837		
2	DeAndre Hopkins	HOU	  at  IND	1	20	3.5658914728682	3.1049971257656		
3	Odell Beckham Jr.	NYG	  vs.  CAR	1	17	4.8914728682171	2.7932374317338		
4	Brandon Marshall	NYJ	  at  DAL	1	14	4.3306451612903	2.3373605674942		
5	Antonio Brown	PIT	  vs.  DEN	1	27	6.6511627906977	4.039823395462		
6	Alshon Jeffery	CHI	  at  MIN	2	16	7.3798449612403	2.3957125736726		
7	A.J. Green	CIN	  at  SF	2	20	8.2790697674419	3.0038134527128		
8	Allen Robinson	JAC	  vs.  ATL	1	20	8.3100775193798	3.1297483605223		
9	Doug Baldwin	SEA	  vs.  CLE	2	23	11.209302325581	3.5886868290032		
10	Sammy Watkins	BUF	  at  WAS	2	28	11.325581395349	3.8783093709383		
11	Demaryius Thomas	DEN	  at  PIT	4	29	12.37984496124	4.3315926112235		
12	Larry Fitzgerald	ARI	  at  PHI	1	27	14.100775193798	5.2927403274928		
13	Jeremy Maclin	KC	  at  BAL	1	22	14.15503875969	3.4200721067767		
14	Eric Decker	NYJ	  at  DAL	8	27	14.201612903226	3.2128267091549		
15	Jarvis Landry	MIA	  at  SD	8	34	17.736434108527	3.5753665824845		
16	Mike Evans	TB	  at  STL	5	45	17.58064516129	4.8111040483877		
17	Michael Floyd	ARI	  at  PHI	9	45	19.705426356589	5.5214916263144		
18	Brandin Cooks	NO	  vs.  DET	5	36	19.829457364341	4.3971873163073		
19	John Brown	ARI	  at  PHI	9	33	20.317829457364	4.4215548426689		
20	Randall Cobb	GB	  at  OAK	3	34	21.612403100775	4.7024817421426		
21	Danny Amendola	NE	  vs.  TEN	4	35	22.255813953488	5.1688978474753		
22	Allen Hurns	JAC	  vs.  ATL	13	39	23.279069767442	4.1707299459392		
23	Amari Cooper	OAK	  vs.  GB	6	39	24.279069767442	4.668842367991		
24	Golden Tate	DET	  at  NO	7	42	24.937984496124	5.1092740393389		
25	T.Y. Hilton	IND	  vs.  HOU	6	54	24.984496124031	5.0316586815079		
26	Michael Crabtree	OAK	  vs.  GB	9	46	27.751937984496	5.4303639687744		
27	Emmanuel Sanders	DEN	  at  PIT	10	42	27.899224806202	3.9724730376346		
28	Tyler Lockett	SEA	  vs.  CLE	15	58	29.837209302326	5.4385798101656		
29	Kamar Aiken	BAL	  vs.  KC	19	50	32.496124031008	4.3812922078963		
30	Ted Ginn	CAR	  at  NYG	21	61	33.193798449612	4.9791464655369		
31	Dez Bryant	DAL	  vs.  NYJ	11	64	32.403225806452	6.2847990637404		
32	Willie Snead	NO	  vs.  DET	23	53	34.265625	4.4764738756498		
33	DeSean Jackson	WAS	  vs.  BUF	9	51	34.031746031746	4.554670562785		
34	Brandon LaFell	CIN	  at  SF	22	74	37.124031007752	6.2839869731014		
35	Marvin Jones	DET	  at  NO	30	59	39.333333333333	4.7451865996642		
36	Travis Benjamin	SD	  vs.  MIA	16	60	40.328125	5.5044149538688		
37	Anquan Boldin	FA		23	63	40.46875	5.5126806943174		
38	Devante Parker	MIA	  at  SD	31	75	41.220472440945	7.8478778773866		
39	Stefon Diggs	MIN	  vs.  CHI	23	58	41.184	5.6019767939541		
40	Tavon Austin	LA	  	15	62	41.83064516129	5.3501910942561		
41	Jordan Matthews	PHI	  vs.  ARI	29	62	42.424	5.9198162133634		
42	Dorial Green-Beckham	TEN	  at  NE	31	59	45.196850393701	4.9102806662871		
43	James Jones	FA		33	63	45.51968503937	5.1617161183686		
44	Rueben Randle	PHI	  vs.  ARI	31	60	47.910569105691	5.3129816932554		
45	Pierre Garcon	WAS	  vs.  BUF	36	63	48.879032258065	4.3041479279941		
46	Cecil Shorts	HOU	  at  IND	30	63	48.924369747899	4.7847089492291		
47	Donte Moncrief	IND	  vs.  HOU	26	104	48.133333333333	9.977180312299		
48	Nate Washington	NE	  vs.  TEN	33	62	49.532258064516	5.121799526047		
49	Davante Adams	GB	  at  OAK	34	95	51.403361344538	7.8369082908061		
50	Robert Woods	BUF	  at  WAS	35	71	51.157024793388	5.1762462298893		
51	Jermaine Kearse	FA		31	74	52.459459459459	7.0542093800855		
