 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Arizona Cardinals	ARI	  vs.  BAL	1	22	3.0573770491803	2.8001732391603		
2	Seattle Seahawks	SEA	  at  SF	1	13	1.965811965812	1.8943533904903		
3	Carolina Panthers	CAR	  vs.  PHI	1	14	4.0573770491803	2.0617483442174		
4	Los Angeles Rams	LA	  	1	11	4.198347107438	2.2475692460701		
5	Buffalo Bills	BUF	  at  JAC	1	20	5.2540983606557	2.7744781680668		
6	Minnesota Vikings	MIN	  at  DET	1	21	7.6776859504132	3.5888138329843		
7	Miami Dolphins	MIA	  vs.  HOU	1	22	8.5245901639344	3.7113320368531		
8	New England Patriots	NE	  vs.  NYJ	1	23	8.702479338843	3.0414346008736		
9	Washington Redskins	WAS	  vs.  TB	2	21	9.1229508196721	3.4843393636183		
10	New York Giants	NYG	  vs.  DAL	1	24	10.388429752066	3.3755854119196		
11	Atlanta Falcons	ATL	  at  TEN	2	22	11.226890756303	4.2612914261193		
12	Pittsburgh Steelers	PIT	  at  KC	1	24	11.908333333333	4.175316022637		
13	Houston Texans	HOU	  at  MIA	4	24	13	3.4423828956117		
14	Philadelphia Eagles	PHI	  at  CAR	4	23	13.545454545455	3.574473318425		
15	New York Jets	NYJ	  at  NE	3	28	14.041666666667	3.8931474698786		
16	Kansas City Chiefs	KC	  vs.  PIT	5	24	15.365217391304	3.1161024562678		
17	San Diego Chargers	SD	  vs.  OAK	4	25	17.24347826087	2.9857379958667		
18	Jacksonville Jaguars	JAC	  vs.  BUF	5	26	16.973451327434	3.2518481525008		
19	Cleveland Browns	CLE	  at  STL	2	27	18.578947368421	3.8545820007802		
20	San Francisco 49ers	SF	  vs.  SEA	7	28	19.611650485437	3.2923359361819		
21	Detroit Lions	DET	  vs.  MIN	7	25	19.202898550725	3.7477711642859		
22	Tampa Bay Buccaneers	TB	  at  WAS	8	26	18.103448275862	4.212827927162		
23	Dallas Cowboys	DAL	  at  NYG	6	28	20.188679245283	5.0246809859258		
24	Indianapolis Colts	IND	  vs.  NO	14	27	22.472727272727	3.2297173839464		
25	Tennessee Titans	TEN	  vs.  ATL	13	28	23.181818181818	3.4750587128639		
26	Baltimore Ravens	BAL	  at  ARI	10	28	23.884615384615	4.3969125800596		
27	Oakland Raiders	OAK	  at  SD	9	28	24.4375	3.6906765978612		
28	New Orleans Saints	NO	  at  IND	13	28	25.934782608696	2.9072785265609		
