 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Julio Jones	ATL	  vs.  WAS	1	15	2.2835820895522	2.3005902561828		
2	Odell Beckham Jr.	NYG	  vs.  SF	1	14	2.3059701492537	1.6355546411489		
3	Demaryius Thomas	DEN	  at  OAK	1	15	3.3582089552239	2.1033128988259		
4	Randall Cobb	GB	  vs.  STL	1	13	4.6716417910448	1.8518893917963		
5	Antonio Brown	PIT	  at  SD	2	26	7.0746268656716	3.1895979854101		
6	Julian Edelman	NE	  at  DAL	2	15	7.3358208955224	2.5302469640857		
7	DeAndre Hopkins	HOU	  vs.  IND	1	16	5.8837209302326	2.613702434908		
8	Keenan Allen	SD	  vs.  PIT	1	20	8.5820895522388	3.0279753036875		
9	Larry Fitzgerald	ARI	  at  DET	1	21	9.1940298507463	3.2148851838561		
10	Emmanuel Sanders	DEN	  at  OAK	4	20	9.4701492537313	2.6840888237061		
11	A.J. Green	CIN	  vs.  SEA	3	24	10.522388059701	3.1616083614988		
12	Jeremy Maclin	KC	  vs.  CHI	5	21	12.529850746269	2.9236306872849		
13	Jordan Matthews	PHI	  vs.  NO	4	28	14.111940298507	3.1067102333574		
14	Mike Evans	TB	  vs.  JAC	6	29	15.388059701493	3.3141722988231		
15	Allen Robinson	JAC	  at  TB	6	29	16.283582089552	3.1471663167603		
16	James Jones	FA		6	26	17.305970149254	2.9428070971522		
17	Amari Cooper	OAK	  vs.  DEN	9	28	18.485074626866	3.307014423527		
18	T.Y. Hilton	IND	  at  HOU	4	37	18.906976744186	5.2005394181536		
19	Vincent Jackson	TB	  vs.  JAC	14	40	21.365671641791	3.7507035057044		
20	Pierre Garcon	WAS	  at  ATL	5	52	22.5	4.9046885884074		
21	Kendall Wright	TEN	  vs.  BUF	10	43	23.582089552239	4.797851676365		
22	John Brown	ARI	  at  DET	15	46	24.84328358209	4.1427052910552		
