 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Miami Dolphins	MIA	  at  WAS	1	19	2.7099236641221	2.4165098471765		
2	Seattle Seahawks	SEA	  at  STL	1	18	2.7786259541985	2.3191538215211		
3	New York Jets	NYJ	  vs.  CLE	1	18	4.3615384615385	3.3258980190523		
4	Carolina Panthers	CAR	  at  JAC	1	23	4.7328244274809	3.7392582590606		
5	Cincinnati Bengals	CIN	  at  OAK	1	24	6.3740458015267	3.8825030838849		
6	Kansas City Chiefs	KC	  at  HOU	1	26	7.5114503816794	4.0121312457389		
7	Green Bay Packers	GB	  at  CHI	1	24	7.6106870229008	3.3963890099082		
8	Houston Texans	HOU	  vs.  KC	1	19	8.3893129770992	3.3918909114947		
9	Denver Broncos	DEN	  vs.  BAL	1	24	9.6384615384615	3.5777170334723		
10	Los Angeles Rams	LA	  	2	30	10.891472868217	4.2758385733184		
11	Tampa Bay Buccaneers	TB	  vs.  TEN	1	30	10.975609756098	4.8797964349021		
12	Cleveland Browns	CLE	  at  NYJ	4	22	12.348837209302	2.9639988774614		
13	Buffalo Bills	BUF	  vs.  IND	3	23	13.453846153846	3.7644317958441		
14	Minnesota Vikings	MIN	  at  SF	2	25	13.935483870968	4.4190605035019		
15	New England Patriots	NE	  vs.  PIT	2	31	14.395161290323	5.4236913813188		
16	Arizona Cardinals	ARI	  vs.  NO	5	30	15.338461538462	3.5247560660908		
17	San Francisco 49ers	SF	  vs.  MIN	2	29	17.387931034483	3.5544327636215		
18	Indianapolis Colts	IND	  at  BUF	2	31	16.23	4.9716295115384		
19	Baltimore Ravens	BAL	  at  DEN	9	31	18.906779661017	3.7642098865625		
20	New Orleans Saints	NO	  at  ARI	10	32	20.817307692308	4.2556849378145		
21	Detroit Lions	DET	  at  SD	6	25	17.602941176471	4.9143837680903		
22	Jacksonville Jaguars	JAC	  vs.  CAR	8	28	19.364864864865	4.3451567456078		
23	Philadelphia Eagles	PHI	  at  ATL	8	28	19.029411764706	4.7834598241517		
24	Pittsburgh Steelers	PIT	  at  NE	13	32	23.381578947368	4.787503209462		
25	San Diego Chargers	SD	  vs.  DET	11	29	21.969230769231	4.0305343443012		
26	Tennessee Titans	TEN	  at  TB	1	30	20.232142857143	6.9256022724912		
27	Dallas Cowboys	DAL	  vs.  NYG	11	32	22.555555555556	4.3453232578449		
28	Oakland Raiders	OAK	  vs.  CIN	14	32	25.490196078431	4.7252867908383		
29	Washington Redskins	WAS	  vs.  MIA	15	32	27.041666666667	4.020563462446		
30	New York Giants	NYG	  at  DAL	20	32	28.244444444444	2.8374915021355		
31	Atlanta Falcons	ATL	  vs.  PHI	16	32	28.673913043478	3.0861143983001		
32	Chicago Bears	CHI	  vs.  GB	16	32	29.224489795918	4.1268919279029		
