 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Rob Gronkowski	NE	  vs.  PIT	1	2	1.0074074074074	0.085746940020668		
2	Greg Olsen	CAR	  at  JAC	1	7	2.4928571428571	0.88233803508818		
3	Jimmy Graham	SEA	  at  STL	1	11	3.4428571428571	1.6003188457814		
4	Martellus Bennett	NE	  vs.  PIT	2	18	4.5642857142857	2.0674715900128		
5	Travis Kelce	KC	  at  HOU	1	16	4.6428571428571	1.8749149640581		
6	Jason Witten	DAL	  vs.  NYG	2	17	6.9214285714286	2.2648489610406		
7	Jordan Cameron	MIA	  at  WAS	2	17	7.3142857142857	2.1182395463002		
8	Delanie Walker	TEN	  at  TB	5	25	8.4782608695652	2.8006660473464		
9	Tyler Eifert	CIN	  at  OAK	4	20	10.05035971223	2.5707926191646		
10	Owen Daniels	FA		4	26	12.094202898551	3.3834372394113		
11	Larry Donnell	NYG	  at  DAL	6	23	11.941176470588	3.4529712394723		
12	Kyle Rudolph	MIN	  at  SF	4	23	12.575539568345	3.2118898205974		
13	Jordan Reed	WAS	  vs.  MIA	7	29	15.308823529412	3.9154946834234		
14	Dwayne Allen	IND	  at  BUF	7	30	16.385185185185	3.5065762244044		
15	Austin Seferian-Jenkins	TB	  vs.  TEN	8	32	16.851851851852	3.9280916458316		
16	Vernon Davis	FA		6	28	17.729323308271	4.1893668112175		
17	Zach Ertz	PHI	  at  ATL	7	39	18.189655172414	6.0127935344556		
18	Charles Clay	BUF	  vs.  IND	7	29	18.328358208955	4.43489574732		
19	Ladarius Green	PIT	  at  NE	8	32	17.701923076923	4.9319987516615		
20	Richard Rodgers	GB	  at  CHI	6	28	19.842519685039	4.0922919609562		
21	Josh Hill	NO	  at  ARI	5	32	21.214876033058	4.7030965912488		
22	Coby Fleener	NO	  at  ARI	10	31	21.359375	3.7180605978621		
23	Benjamin Watson	BAL	  at  DEN	8	38	24.736363636364	5.3132377951461		
24	Brent Celek	PHI	  at  ATL	14	40	24.8	5.1283525619832		
25	Crockett Gillmore	BAL	  at  DEN	12	35	26.009708737864	5.0789784647371		
26	Scott Chandler	FA		13	39	26.285714285714	5.8220605737969		
27	Marcedes Lewis	JAC	  vs.  CAR	12	37	25.244897959184	4.6643704312801		
28	Jared Cook	GB	  at  CHI	12	32	24.869158878505	3.8695651960567		
29	Eric Ebron	DET	  at  SD	15	33	26.166666666667	4.1998677227847		
30	Mychal Rivera	OAK	  vs.  CIN	13	39	28.168316831683	4.2521265662326		
31	Jacob Tamme	ATL	  vs.  PHI	18	44	29.388888888889	3.9656705876657		
32	Jeff Cumberland	FA		21	50	30.410256410256	4.6449197432715		
33	Andrew Quarless	FA		22	52	37.35	6.7843570071157		
34	Virgil Green	DEN	  vs.  BAL	22	49	35.666666666667	6.4604468682417		
35	John Phillips	FA		23	47	34	9.8994949366117		
36	Clay Harbor	NE	  vs.  PIT	23	47	34.928571428571	7.8144946433287		
37	Garrett Graham	DEN	  vs.  BAL	24	46	33.75	4.1907636535601		
38	Tim Wright	DET	  at  SD	26	57	46.285714285714	10.819483559292		
39	Gary Barnidge	CLE	  at  NYJ	26	55	40.1875	7.204328126203		
40	Lance Kendricks	LA	  	26	49	36.136363636364	4.2350856441426		
41	Maxx Williams	BAL	  at  DEN	26	49	36.466666666667	5.7950170165602		
42	Luke Willson	SEA	  at  STL	27	58	44.857142857143	8.1666319588323		
43	Rob Housler	CHI	  vs.  GB	27	54	36.147058823529	6.0202225527612		
44	Ed Dickson	CAR	  at  JAC	28	58	46	9.9331096171676		
45	Darren Fells	ARI	  vs.  NO	28	53	38.933333333333	6.7967312404976		
46	Clive Walford	OAK	  vs.  CIN	28	52	38.588235294118	5.7707051616145		
47	David Johnson	FA		29	46	37.5	8.5		
48	Jermaine Gresham	ARI	  vs.  NO	30	43	35.647058823529	2.9494002674639		
49	Dion Sims	MIA	  at  WAS	32	58	42.285714285714	6.0406784319617		
50	Gavin Escobar	DAL	  vs.  NYG	32	57	41.318181818182	6.0781752916507		
51	Derek Carrier	WAS	  vs.  MIA	32	54	45.571428571429	7.3456915041043		
52	Levine Toilolo	ATL	  vs.  PHI	33	56	42.411764705882	6.774162188522		
53	James Casey	FA		35	59	47	8		
54	Daniel Fells	FA		35	50	46	4.371625682868		
55	Craig Stevens	TEN	  at  TB	36	69	58	15.556349186104		
56	Jim Dray	BUF	  vs.  IND	36	64	47	9.3630479367921		
57	Matt Spaeth	PIT	  at  NE	38	74	56.4	13.245376551839		
58	Kellen Davis	NYJ	  vs.  CLE	38	65	50.333333333333	7.5571893658364		
59	Anthony Fasano	TEN	  at  TB	39	70	53.1	9.606768447298		
