 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Le'Veon Bell	RB1	PIT	  vs.  ARI	1	9	2.4859813084112	1.891271075236		
2	Adrian Peterson	RB2	MIN	  vs.  KC	1	7	2.6355140186916	1.5125180055435		
3	Devonta Freeman	RB3	ATL	  at  NO	1	15	3.9906542056075	2.6843099919277		
4	Arian Foster	RB4	FA		1	18	5.2523364485981	2.5434300849606		
5	Matt Forte	RB5	NYJ	  vs.  WAS	1	14	5.3644859813084	1.8157798631678		
6	DeAndre Hopkins	WR1	HOU	  at  JAC	2	17	5.5420560747664	3.9394491142745		
7	Eddie Lacy	RB6	GB	  vs.  SD	1	31	7.9532710280374	3.6923340073551		
8	Rob Gronkowski	TE1	NE	  at  IND	1	37	10.878504672897	3.0684108961396		
9	Mark Ingram	RB7	NO	  vs.  ATL	4	38	11.747663551402	4.3836856808495		
10	A.J. Green	WR2	CIN	  at  BUF	2	32	12.345794392523	5.43629684936		
11	Chris Ivory	RB8	JAC	  vs.  HOU	5	31	13.514018691589	4.4874997430168		
12	Julian Edelman	WR3	NE	  at  IND	3	34	13.831775700935	5.8636947003127		
13	Julio Jones	WR4	ATL	  at  NO	3	40	14.224299065421	7.1254557633736		
14	Dion Lewis	RB9	NE	  at  IND	4	52	14.710280373832	8.5149778381944		
15	Larry Fitzgerald	WR5	ARI	  at  PIT	3	35	17.682242990654	5.5156500042146		
16	Odell Beckham Jr.	WR6	NYG	  at  PHI	3	101	19.448598130841	13.851167260681		
17	DeMarco Murray	RB10	TEN	  vs.  MIA	2	52	19.570093457944	9.369978056341		
18	Randall Cobb	WR7	GB	  vs.  SD	10	56	21.158878504673	5.9721308095017		
19	Frank Gore	RB11	IND	  vs.  NE	9	49	21.196261682243	7.3171661594103		
20	Demaryius Thomas	WR8	DEN	  at  CLE	3	47	21.85046728972	6.5221459376579		
21	Carlos Hyde	RB12	SF	  vs.  BAL	9	49	22.822429906542	7.9175813876545		
22	Brandon Marshall	WR9	NYJ	  vs.  WAS	9	52	22.88785046729	7.1803562544108		
23	Emmanuel Sanders	WR10	DEN	  at  CLE	17	55	28.373831775701	5.6079439057649		
24	Giovani Bernard	RB13	CIN	  at  BUF	12	54	28.915887850467	8.5446835362748		
25	Justin Forsett	RB14	BAL	  at  SF	1	109	28.257142857143	17.65544759931		
26	Keenan Allen	WR11	SD	  at  GB	8	56	31.317757009346	6.5447391026888		
27	Chris Johnson	RB15	ARI	  at  PIT	15	81	31.831775700935	11.049156081707		
28	LeGarrette Blount	RB16	NE	  at  IND	9	111	32.168224299065	14.748030745343		
29	Allen Robinson	WR12	JAC	  vs.  HOU	16	70	32.766355140187	7.3339301588446		
30	Antonio Brown	WR13	PIT	  vs.  ARI	8	74	32.971962616822	9.3643367458775		
31	T.Y. Hilton	WR14	IND	  vs.  NE	10	57	33.009345794393	7.2505176445597		
32	Lamar Miller	RB17	HOU	  at  JAC	12	97	33.102803738318	14.459698798222		
33	Jeremy Maclin	WR15	KC	  at  MIN	10	50	33.429906542056	6.3996380585925		
34	Danny Woodhead	RB18	SD	  at  GB	16	73	36.626168224299	10.680161856457		
35	James Jones	WR16	FA		20	56	37.514018691589	7.0331185648554		
36	Jordan Matthews	WR17	PHI	  vs.  NYG	17	66	39.242990654206	8.0009825582305		
37	Charcandrick West	RB19	KC	  at  MIN	16	88	40.691588785047	12.500774716145		
38	Allen Hurns	WR18	JAC	  vs.  HOU	30	74	44.775700934579	6.6561873558492		
39	C.J. Anderson	RB20	DEN	  at  CLE	18	111	45.757009345794	15.647902204207		
40	Brandin Cooks	WR19	NO	  vs.  ATL	29	70	45.943925233645	8.1272953918837		
41	Willie Snead	WR20	NO	  vs.  ATL	20	82	46.523364485981	8.2861733661604		
42	Melvin Gordon	RB21	SD	  at  GB	22	91	47.429906542056	10.847379759869		
43	Jarvis Landry	WR21	MIA	  at  TEN	27	75	48.18691588785	8.8361310528749		
44	Alshon Jeffery	WR22	CHI	  at  DET	18	126	46.552380952381	15.59852310004		
45	Jeremy Hill	RB22	CIN	  at  BUF	16	76	48.728971962617	10.989859466466		
46	Eric Decker	WR23	NYJ	  vs.  WAS	26	75	49.439252336449	9.1285498229952		
47	Donte Moncrief	WR24	IND	  vs.  NE	31	71	49.457943925234	7.5767479693631		
