 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Adrian Peterson	MIN	  vs.  CHI	1	4	1.1007751937984	0.41004747768801		
2	LeSean McCoy	BUF	  at  WAS	2	13	3.5503875968992	2.0382438112907		
3	David Johnson	ARI	  at  PHI	1	27	3.8914728682171	3.0044935599181		
4	Lamar Miller	HOU	  at  IND	1	14	5.8527131782946	2.3331144145159		
5	Devonta Freeman	ATL	  at  JAC	1	19	6.3023255813953	3.1564002928535		
6	DeAngelo Williams	PIT	  vs.  DEN	2	15	6.9147286821705	2.7422364203878		
7	Todd Gurley	LA	  	2	11	5.2661290322581	2.2757801603383		
8	Doug Martin	TB	  at  STL	1	18	6.6129032258065	2.6418153503743		
9	Eddie Lacy	GB	  at  OAK	5	22	10.488372093023	3.2160360768488		
10	Chris Ivory	JAC	  vs.  ATL	3	20	10.016129032258	2.8054781403985		
11	Matt Forte	NYJ	  at  DAL	5	22	12	3.5284008280099		
12	Denard Robinson	JAC	  vs.  ATL	3	23	12.193798449612	3.3643768082982		
13	Jeremy Hill	CIN	  at  SF	3	23	13.426356589147	3.3172679377039		
14	Charcandrick West	KC	  at  BAL	4	24	13.77519379845	4.2594906528078		
15	Latavius Murray	OAK	  vs.  GB	7	23	13.922480620155	2.9111184965211		
16	Tim Hightower	NO	  vs.  DET	6	29	14.71875	3.3446260534625		
17	Javorius Allen	BAL	  vs.  KC	11	28	17.604651162791	3.1213657432475		
18	Frank Gore	IND	  vs.  HOU	13	33	19.860465116279	3.9428950644283		
19	Darren McFadden	DAL	  vs.  NYJ	10	44	19.134920634921	4.3994104486043		
20	Shaun Draughn	SF	  vs.  CIN	12	35	19.922480620155	3.8772091039394		
21	Giovani Bernard	CIN	  at  SF	11	39	21.961240310078	3.9343510063892		
22	Matt Jones	WAS	  vs.  BUF	14	48	24.236220472441	5.4965367663496		
23	Brandon Bolden	NE	  vs.  TEN	12	51	25.3046875	7.6163461073761		
24	James White	NE	  vs.  TEN	15	43	25.3515625	4.7509700386967		
25	Bryce Brown	FA		10	54	24.650406504065	6.6160481656869		
26	Ronnie Hillman	DEN	  at  PIT	11	42	27.5625	5.768651813899		
27	Ryan Mathews	PHI	  vs.  ARI	17	43	28.085271317829	4.0995953813429		
28	Melvin Gordon	SD	  vs.  MIA	16	44	28.90625	5.7817567345488		
29	Jeremy Langford	CHI	  at  MIN	16	42	29.25	4.424717505107		
30	James Starks	GB	  at  OAK	16	41	29.346456692913	4.3713057793557		
31	Ameer Abdullah	DET	  at  NO	17	53	31.28125	6.0375614644904		
32	Darren Sproles	PHI	  vs.  ARI	21	50	31.8515625	4.9102727835217		
33	C.J. Anderson	DEN	  at  PIT	16	55	32.637096774194	7.4761283293618		
34	Fozzy Whittaker	CAR	  at  NYG	18	52	33.770491803279	7.759485876629		
35	Theo Riddick	DET	  at  NO	16	46	34.7421875	4.6991456898934		
36	Danny Woodhead	SD	  vs.  MIA	19	49	35.532258064516	5.6788167268608		
37	Charles Sims	TB	  at  STL	25	51	36.02479338843	4.6877064647288		
38	Bilal Powell	NYJ	  at  DAL	22	53	37.27731092437	6.0208661954624		
39	DeMarco Murray	TEN	  at  NE	28	59	38.68	5.2878729182914		
40	Chris Polk	FA		18	56	39.478991596639	5.709859877743		
41	Duke Johnson	CLE	  at  SEA	25	55	41.713114754098	5.2968897589037		
42	Fred Jackson	FA		12	72	42.579831932773	7.2789506565733		
43	Isaiah Crowell	CLE	  at  SEA	23	61	42.398305084746	5.2853167737089		
44	Antonio Andrews	TEN	  at  NE	22	53	42.622950819672	5.2296880589862		
45	Spencer Ware	KC	  at  BAL	25	79	44.350515463918	11.502613989884		
46	Rashad Jennings	NYG	  vs.  CAR	22	55	43.725	5.8608339850229		
47	Mike Tolbert	CAR	  at  NYG	20	63	44.025862068966	7.0777227085833		
48	Alfred Morris	DAL	  vs.  NYJ	30	56	46.428571428571	4.6842690946166		
49	Cameron Artis-Payne	CAR	  at  NYG	22	77	48.508771929825	7.8909737620205		
50	Joique Bell	FA		31	60	47.285714285714	4.2791616573572		
51	C.J. Spiller	NO	  vs.  DET	29	62	49.838383838384	5.3479101378545		
52	Shane Vereen	NYG	  vs.  CAR	31	60	49.944444444444	4.3521670492631		
53	Jonathan Grimes	HOU	  at  IND	29	63	50.625	4.9772318148205		
54	Alfred Blue	HOU	  at  IND	34	68	53.712871287129	6.3109783862214		
55	Christine Michael	SEA	  vs.  CLE	40	86	53.792452830189	10.083347921419		
56	Karlos Williams	BUF	  at  WAS	36	72	53.746268656716	7.275686937014		
57	Jay Ajayi	MIA	  at  SD	38	67	53.432692307692	4.0281805949244		
58	T.J. Yeldon	JAC	  vs.  ATL	38	113	54.538461538462	19.057061621172		
59	David Cobb	TEN	  at  NE	28	73	59.512820512821	5.8281887711707		
60	Andre Ellington	ARI	  at  PHI	35	113	58.216216216216	11.09452052515		
61	Derrick Coleman	SEA	  vs.  CLE	41	86	60.907407407407	8.5532504510545		
62	Stepfan Taylor	ARI	  at  PHI	39	91	65.265306122449	8.7453206384646		
63	Tevin Coleman	ATL	  at  JAC	47	71	61.373493975904	5.3766806694324		
64	Robert Turbin	IND	  vs.  HOU	41	68	57.352941176471	4.0050141583151		
65	Kerwynn Williams	ARI	  at  PHI	47	83	61.584615384615	6.1541538384619		
66	Juwan Thompson	DEN	  at  PIT	47	105	62.789473684211	8.5767675629141		
67	Dexter McCluster	TEN	  at  NE	47	73	63.666666666667	11.813363431113		
68	Knile Davis	KC	  at  BAL	48	105	65.925925925926	8.5761336619193		
69	Zurlon Tipton	FA		49	106	71.685714285714	9.7797792220813		
70	Jonas Gray	JAC	  vs.  ATL	50	87	66.967741935484	8.5778554766657		
71	Roy Helu	OAK	  vs.  GB	50	99	77	20.314198646923		
72	Taiwan Jones	OAK	  vs.  GB	50	97	70	8.7863530545955		
73	Mike Gillislee	BUF	  at  WAS	50	78	63.344262295082	5.1275061714013		
74	Bishop Sankey	TEN	  at  NE	51	82	68.452380952381	7.0040885371208		
75	Joey Iosefa	NE	  vs.  TEN	51	81	70.166666666667	11.480660066196		
76	Daniel Herron	FA		51	69	60.240963855422	4.0077946988451		
77	Orleans Darkwa	NYG	  vs.  CAR	52	75	66.179104477612	5.4960647336297		
78	Marcel Reece	OAK	  vs.  GB	53	80	66.95	5.0987743625307		
79	Terrance West	BAL	  vs.  KC	54	78	65.047619047619	4.9679243259981		
80	Joe Banyard	JAC	  vs.  ATL	56	71	64.666666666667	6.3420991968135		
81	Tre Mason	LA	  	57	77	66.5625	4.99960935974		
82	Jerick McKinnon	MIN	  vs.  CHI	57	77	68.490196078431	4.9164491770558		
83	Bernard Pierce	FA		59	71	66.333333333333	5.2493385826745		
84	Kenjon Barner	PHI	  vs.  ARI	60	94	73.772727272727	6.9211915565156		
85	Matt Asiata	MIN	  vs.  CHI	60	88	73.28	7.3021640627967		
86	Travaris Cadet	NO	  vs.  DET	60	75	67.129032258065	4.3309980633528		
87	Benny Cunningham	LA	  	61	85	74.157894736842	7.4357823210313		
88	Pierre Thomas	FA		61	83	69.555555555556	6.0481606223364		
89	Terrence Magee	FA		62	95	75.666666666667	14.055445761539		
90	Jamize Olawale	OAK	  vs.  GB	62	94	70.157894736842	8.2159226530896		
91	Damien Williams	MIA	  at  SD	62	93	74.833333333333	8.6874750199481		
92	Ka'Deem Carey	CHI	  at  MIN	62	91	78.5625	9.2936049921438		
93	Andre Williams	NYG	  vs.  CAR	63	84	74.8125	6.1767583528903		
94	Stevan Ridley	DET	  at  NO	65	109	76.428571428571	10.614775993291		
95	John Crockett	GB	  at  OAK	65	71	68	3		
96	John Kuhn	FA		66	97	86.25	12.028611723719		
97	Kyle Juszczyk	BAL	  vs.  KC	66	95	75.6	7.0668238976219		
98	Donald Brown	NE	  vs.  TEN	66	84	74.307692307692	4.4615384615385		
99	Kendall Gaskins	SF	  vs.  CIN	68	101	82.666666666667	13.719410418171		
100	Patrick DiMarco	ATL	  at  JAC	68	97	83.375	8.7169016858056		
101	Anthony Dixon	FA		76	107	89	11.247221879202		
102	Bruce Miller	SF	  vs.  CIN	76	90	83.181818181818	5.0779054704614		
103	Austin Johnson	NO	  vs.  DET	77	100	88	9.4162979278837		
