 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Jeremy Hill	CIN	  vs.  SD	1	12	3.4202898550725	2.2803876933377		
2	Matt Forte	NYJ	  at  IND	1	15	4.9710144927536	3.0119136123876		
3	Adrian Peterson	MIN	  vs.  DET	1	16	4.7664233576642	2.8083888248551		
4	DeMarco Murray	TEN	  at  CLE	1	21	5.6159420289855	3.4960069639936		
5	Eddie Lacy	GB	  vs.  SEA	1	18	7.0724637681159	2.8351767604825		
6	Jamaal Charles	KC	  vs.  DEN	1	14	5.7593984962406	2.4252753535318		
7	Justin Forsett	BAL	  at  OAK	1	16	8.304347826087	2.9256702332627		
8	Carlos Hyde	SF	  at  PIT	2	23	8.304347826087	2.8605479754055		
9	Mark Ingram	NO	  vs.  TB	2	18	8.8695652173913	2.8812891814596		
10	Lamar Miller	HOU	  at  CAR	1	21	10.521739130435	2.9172584690811		
11	Chris Ivory	JAC	  vs.  MIA	5	39	13.079710144928	4.2290602550238		
12	LeSean McCoy	BUF	  vs.  NE	4	36	13.36231884058	4.4100380046762		
13	Ameer Abdullah	DET	  at  MIN	7	33	15.304347826087	4.0299758974576		
14	Jonathan Stewart	CAR	  vs.  HOU	9	34	16.623188405797	3.3366712965641		
15	Joseph Randle	FA		10	35	18.391304347826	4.113313102049		
16	C.J. Anderson	DEN	  at  KC	7	41	17.571428571429	5.3315428430243		
17	Doug Martin	TB	  at  NO	12	32	19.094202898551	4.3686758534429		
18	Alfred Morris	DAL	  at  PHI	9	39	21	4.9328828623162		
19	Tevin Coleman	ATL	  at  NYG	11	36	21.079710144928	4.3573386276469		
20	DeAngelo Williams	PIT	  vs.  SF	5	46	21.130434782609	5.9427535790086		
21	Frank Gore	IND	  vs.  NYJ	12	36	22.391304347826	4.3828301071285		
22	Rashad Jennings	NYG	  vs.  ATL	9	38	22.550724637681	4.3722982776251		
23	Latavius Murray	OAK	  vs.  BAL	12	40	22.68115942029	4.2986103370342		
24	Bishop Sankey	TEN	  at  CLE	2	43	23.978260869565	5.3547586737113		
25	Danny Woodhead	SD	  at  CIN	12	40	24.95652173913	5.0488477164617		
26	T.J. Yeldon	JAC	  vs.  MIA	14	44	26.284671532847	4.575320825749		
27	Chris Johnson	ARI	  at  CHI	14	43	28.237037037037	5.2707542610247		
28	Melvin Gordon	SD	  at  CIN	18	56	29.289855072464	4.3625595773528		
29	Isaiah Crowell	CLE	  vs.  TEN	14	47	30.630434782609	5.4773262372726		
30	LeGarrette Blount	NE	  at  BUF	15	44	30.696296296296	5.0702824438444		
31	Giovani Bernard	CIN	  vs.  SD	17	45	31.56204379562	4.5141485829267		
32	Tre Mason	LA	  	15	89	35.643410852713	9.3026614926431		
33	Ryan Mathews	PHI	  vs.  DAL	19	51	36.235294117647	4.829802233982		
34	Darren Sproles	PHI	  vs.  DAL	15	49	36.671532846715	5.5528114652516		
35	Joique Bell	FA		23	58	36.822222222222	4.729523766906		
36	Shane Vereen	NYG	  vs.  ATL	25	53	36.933823529412	4.5361330478373		
37	Ronnie Hillman	DEN	  at  KC	17	57	36.723076923077	5.8177650805567		
38	David Johnson	ARI	  at  CHI	21	49	37.801470588235	5.249397518569		
39	Dion Lewis	NE	  at  BUF	26	59	38.696296296296	4.7613786893419		
40	Alfred Blue	HOU	  at  CAR	26	53	40.036764705882	4.7548861683587		
41	C.J. Spiller	NO	  vs.  TB	21	91	40.129032258065	7.5721984513123		
42	Benny Cunningham	LA	  	8	57	41.323308270677	7.0043475995946		
43	Devonta Freeman	ATL	  at  NYG	27	53	43.105263157895	3.6362071412884		
44	Duke Johnson	CLE	  vs.  TEN	25	58	43.931297709924	4.8048811690585		
45	Lance Dunbar	DAL	  at  PHI	20	64	44.138211382114	5.8536698283541		
46	Darren McFadden	DAL	  at  PHI	31	58	46.3828125	4.6605409653648		
47	Karlos Williams	BUF	  vs.  NE	23	70	47.237288135593	7.5066952783314		
48	Khiry Robinson	NYJ	  at  IND	34	70	48.956140350877	5.6713969176778		
49	Bilal Powell	NYJ	  at  IND	26	77	49.490909090909	6.9239314299234		
50	Terrance West	BAL	  at  OAK	35	65	50.80701754386	4.8356809658207		
51	Matt Jones	WAS	  vs.  STL	34	73	51.90990990991	5.1193847278637		
52	Andre Williams	NYG	  vs.  ATL	43	74	52.767857142857	4.4560996375296		
53	Denard Robinson	JAC	  vs.  MIA	39	67	54.229357798165	4.726720894369		
54	Knile Davis	KC	  vs.  DEN	41	63	54.117647058824	4.1781272604894		
55	Javorius Allen	BAL	  at  OAK	40	77	56.020618556701	6.1677234040221		
56	Lorenzo Taliaferro	BAL	  at  OAK	29	78	59.041666666667	9.2532839515973		
57	Charles Sims	TB	  at  NO	44	65	55.836538461538	4.2338166472306		
58	Todd Gurley	LA	  	24	61	51.714285714286	11.876919823329		
59	Jonathan Grimes	HOU	  at  CAR	45	72	58.493975903614	5.4294455861454		
60	Reggie Bush	FA		41	64	51.6	6.681317235396		
61	Fred Jackson	FA		44	73	58.010638297872	5.0917009674088		
62	Jarryd Hayne	SF	  at  PIT	44	76	61.492753623188	6.3556962660479		
63	Brandon Bolden	NE	  at  BUF	35	96	65.576271186441	10.962499080773		
64	Mike Tolbert	CAR	  vs.  HOU	36	84	66.5	7.8651834759979		
65	Dri Archer	NYJ	  at  IND	39	85	68.033333333333	6.7920705401389		
66	Josh Robinson	IND	  vs.  NYJ	46	77	64.292682926829	7.7671726420033		
67	Theo Riddick	DET	  at  MIN	44	76	64.675675675676	6.3311928514176		
68	Jerick McKinnon	MIN	  vs.  DET	46	73	62.988764044944	5.2112548511947		
69	Chris Polk	FA		49	72	62.488372093023	5.9508533412826		
70	Anthony Dixon	FA		50	83	66.969696969697	6.6217495101249		
71	Mike Davis	SF	  at  PIT	50	89	73.333333333333	10.681240044531		
72	Damien Williams	MIA	  at  JAC	50	87	68.894736842105	6.8304894652036		
73	Marcel Reece	OAK	  vs.  BAL	50	82	64.62962962963	5.8466925216803		
74	Roy Helu	OAK	  vs.  BAL	52	99	67.41935483871	7.9950557041711		
75	James Starks	GB	  vs.  SEA	53	95	65.207792207792	6.6632110007067		
76	Branden Oliver	SD	  at  CIN	53	85	71.846153846154	5.6751300065916		
77	Cameron Artis-Payne	CAR	  vs.  HOU	54	99	70.176470588235	9.5161490859279		
78	Will Johnson	NYG	  vs.  ATL	55	77	69.08	5.8986100057556		
79	James White	NE	  at  BUF	55	73	65.469387755102	4.0713134861746		
80	Dexter McCluster	TEN	  at  CLE	56	93	67.827586206897	8.5301451882265		
81	Zac Stacy	NYJ	  at  IND	58	97	76.571428571429	14.450478418745		
82	Kyle Juszczyk	BAL	  at  OAK	58	79	71.307692307692	6.809321838871		
83	Travaris Cadet	NO	  vs.  TB	59	108	79.285714285714	15.266342865591		
84	Fozzy Whittaker	CAR	  vs.  HOU	60	89	69.939393939394	5.5755928829432		
85	Matt Asiata	MIN	  vs.  DET	60	83	73.277777777778	6.6816960218492		
86	Jeremy Langford	CHI	  vs.  ARI	61	100	78.235294117647	10.751357844558		
87	Jacquizz Rodgers	CHI	  vs.  ARI	61	83	71.263157894737	4.4288777866129		
88	Juwan Thompson	DEN	  at  KC	62	89	76.428571428571	8.2610470256005		
89	Taiwan Jones	OAK	  vs.  BAL	65	95	78.444444444444	8.3281465339749		
90	Bryce Brown	FA		65	80	72.625	3.568525605905		
91	Zach Zenner	DET	  at  MIN	66	93	79.818181818182	8.7054651780903		
92	Jamize Olawale	OAK	  vs.  BAL	67	80	72	5.7154760664941		
93	Bobby Rainey	NYG	  vs.  ATL	68	88	76.75	5.804093383122		
94	Chris Thompson	WAS	  vs.  STL	69	86	76.846153846154	4.8808283320662		
95	Isaiah Pead	MIA	  at  JAC	70	109	83.428571428571	11.330832056916		
96	Stepfan Taylor	ARI	  at  CHI	71	110	88.166666666667	11.823939933692		
97	Darrel Young	FA		71	96	85.2	6.6452990903345		
98	Rex Burkhead	CIN	  vs.  SD	72	98	87.1	9.6275645933954		
99	Terron Ward	ATL	  at  NYG	72	97	82.714285714286	9.3459584193121		
100	Toby Gerhart	FA		73	83	78	5		
101	Thomas Rawls	SEA	  at  GB	78	96	86.555555555556	6.0389681074228		
102	Tyler Varga	IND	  vs.  NYJ	78	91	83.75	3.9921798556678		
103	Bruce Miller	SF	  at  PIT	80	91	85.375	4.1514304763539		
104	Bernard Pierce	FA		81	96	89.75	4.9937460888595		
105	Jerome Felton	BUF	  vs.  NE	82	107	89.2	9.1956511460581		
106	Tommy Bohanon	NYJ	  at  IND	82	101	92.75	5.3326822519254		
107	Cedric Peerman	CIN	  vs.  SD	83	121	101	15.577761927397		
108	Patrick DiMarco	ATL	  at  NYG	83	112	95.714285714286	8.9397073412354		
109	Anthony Sherman	KC	  vs.  DEN	85	102	92.285714285714	5.6496342666529		
110	Austin Johnson	NO	  vs.  TB	88	101	94.75	5.0682837331783		
111	John Kuhn	FA		90	99	93	2.9439202887759		
112	Shaun Draughn	SF	  at  PIT	90	93	91.25	1.2990381056767		
113	Jorvorskie Lane	TB	  at  NO	91	105	99	5.8878405775519		
114	Charcandrick West	KC	  vs.  DEN	97	113	105	8		
115	Derrick Coleman	SEA	  at  GB	97	103	99.5	2.2912878474779		
116	Corey Grant	JAC	  vs.  MIA	98	115	106.5	8.5		
