 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	DeAndre Hopkins	HOU	  at  MIA	1	4	1.3157894736842	0.70836485493617		
2	Julio Jones	ATL	  at  TEN	1	8	2.4887218045113	1.3128431029003		
3	Odell Beckham Jr.	NYG	  vs.  DAL	1	13	3.7593984962406	1.6775849807138		
4	Larry Fitzgerald	ARI	  vs.  BAL	1	22	4.0751879699248	2.6827885283741		
5	Brandon Marshall	NYJ	  at  NE	2	14	5.1428571428571	1.6135835854119		
6	Keenan Allen	SD	  vs.  OAK	3	20	7.9699248120301	2.5099496733536		
7	T.Y. Hilton	IND	  vs.  NO	3	17	9.1804511278195	2.6267409879043		
8	Julian Edelman	NE	  vs.  NYJ	3	23	9.5413533834586	3.3504825781817		
9	Antonio Brown	PIT	  at  KC	3	29	10.323308270677	3.9174736223312		
10	Allen Robinson	JAC	  vs.  BUF	6	21	11.842105263158	2.8623616761093		
11	Steve Smith	BAL	  at  ARI	3	30	14.135338345865	3.9731844671918		
12	Donte Moncrief	IND	  vs.  NO	7	32	14.872180451128	3.851400553445		
13	Eric Decker	NYJ	  at  NE	6	31	15.691729323308	3.9663631779081		
14	Amari Cooper	OAK	  at  SD	2	29	15.93984962406	4.6836130878131		
15	Mike Evans	TB	  at  WAS	6	47	16.03007518797	4.7127085416836		
16	John Brown	ARI	  vs.  BAL	3	73	16.330827067669	8.674326308708		
17	Jarvis Landry	MIA	  vs.  HOU	8	41	17.571428571429	4.2555328236684		
18	Allen Hurns	JAC	  vs.  BUF	11	37	21.135338345865	3.7089243214663		
19	Travis Benjamin	SD	  vs.  OAK	8	35	21.533834586466	4.1739414887592		
20	Willie Snead	NO	  at  IND	13	43	23.691729323308	4.5458077044825		
21	Jordan Matthews	PHI	  at  CAR	13	41	23.744360902256	5.2309865303092		
22	Vincent Jackson	TB	  at  WAS	16	36	23.825757575758	4.0103959830957		
23	Brandin Cooks	NO	  at  IND	12	44	24.699248120301	4.5603471745		
24	Pierre Garcon	WAS	  vs.  TB	16	35	25.774436090226	3.5128476150007		
25	Golden Tate	DET	  vs.  MIN	17	44	28.278195488722	4.7372359306389		
26	Stefon Diggs	MIN	  at  DET	17	43	28.947368421053	5.0994851420403		
27	Michael Crabtree	OAK	  at  SD	12	43	29.030303030303	5.6312700999398		
28	Kendall Wright	TEN	  vs.  ATL	13	49	30.894736842105	4.9085825678585		
29	Mike Wallace	BAL	  at  ARI	19	57	32.401515151515	5.2351664158158		
30	Michael Floyd	ARI	  vs.  BAL	10	52	33.541353383459	7.226217178421		
31	Rishard Matthews	TEN	  vs.  ATL	18	63	33.598484848485	6.6205143172965		
32	Anquan Boldin	FA		17	64	34.354330708661	5.3998068776419		
33	Terrance Williams	DAL	  at  NYG	18	56	36.022556390977	5.5256968606405		
34	Tavon Austin	LA	  	23	55	36.075757575758	5.3916619298202		
35	Leonard Hankerson	BUF	  at  JAC	27	56	38.541353383459	4.646142029936		
36	Rueben Randle	PHI	  at  CAR	27	56	39.18045112782	4.5170264130324		
37	Jamison Crowder	WAS	  vs.  TB	18	59	40.083969465649	5.4493338313205		
38	Ted Ginn	CAR	  vs.  PHI	28	62	41.419847328244	5.4687930740352		
39	Kamar Aiken	BAL	  at  ARI	25	70	42.842105263158	5.6672679833351		
40	Doug Baldwin	SEA	  at  SF	14	53	41.992125984252	5.2877753281636		
41	Robert Woods	BUF	  at  JAC	31	55	43.6015625	4.9392241352862		
42	Torrey Smith	SF	  vs.  SEA	26	59	43.72	5.3927358548329		
43	Steve Johnson	SD	  vs.  OAK	27	66	45.691056910569	8.5873134647267		
44	Dorial Green-Beckham	TEN	  vs.  ATL	27	70	47.161538461538	6.702242846361		
45	Andre Johnson	FA		31	65	48.734375	5.4664950708269		
46	Roddy White	FA		23	71	49.766129032258	6.6187768957908		
47	Jeremy Maclin	KC	  vs.  PIT	11	62	20.088235294118	8.5142359923173		
48	Chris Hogan	NE	  vs.  NYJ	26	72	50.728070175439	7.3595445698615		
49	Danny Amendola	NE	  vs.  NYJ	29	71	52.025423728814	6.2442676958745		
50	Albert Wilson	KC	  vs.  PIT	20	82	54.057142857143	13.768029614138		
51	Brandon LaFell	CIN	  	24	77	50.906976744186	11.564408014265		
52	Nate Washington	NE	  vs.  NYJ	24	77	51.409090909091	10.093468143981		
53	Jermaine Kearse	FA		27	78	54.061946902655	7.3764552316673		
54	Cole Beasley	DAL	  at  NYG	40	76	54.885964912281	5.4543701646942		
55	Kenny Britt	LA	  	33	66	54.939393939394	5.9506695690115		
56	Josh Huff	PHI	  at  CAR	41	84	56.588785046729	6.3348218351243		
57	Kenny Stills	MIA	  vs.  HOU	41	78	56.654205607477	6.1842471020657		
58	Riley Cooper	FA		37	83	56.927272727273	6.6656638364206		
59	Dwayne Harris	NYG	  vs.  DAL	37	73	60.700934579439	6.4100023375723		
60	Chris Conley	KC	  vs.  PIT	35	93	64.771084337349	11.096863011848		
61	Justin Hunter	TEN	  vs.  ATL	32	86	63.022988505747	9.9041115478165		
62	Marques Colston	FA		36	80	61.790697674419	7.6312032015894		
63	Bryan Walters	FA		42	97	60.878048780488	6.7523983885447		
