 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Doug Martin	RB1	TB	  vs.  NO	1	12	2.3203883495146	1.8179984311838		
2	LeSean McCoy	RB2	BUF	  at  PHI	1	20	2.4271844660194	3.0864625862092		
3	Thomas Rawls	RB3	SEA	  at  BAL	1	18	4.9514563106796	3.1909417935219		
4	Odell Beckham Jr.	WR1	NYG	  at  MIA	1	12	5.0873786407767	1.9956593485041		
5	Adrian Peterson	RB4	MIN	  at  ARI	1	27	6.8349514563107	4.3713477679456		
6	Antonio Brown	WR2	PIT	  at  CIN	2	24	7.126213592233	3.4152132846458		
7	DeAngelo Williams	RB5	PIT	  at  CIN	1	27	7.7864077669903	3.8983453931893		
8	David Johnson	RB6	ARI	  vs.  MIN	2	20	7.9611650485437	3.8387961555956		
9	Jonathan Stewart	RB7	CAR	  vs.  ATL	1	25	9.4854368932039	4.8026369732162		
10	Devonta Freeman	RB8	ATL	  at  CAR	1	43	11.038834951456	5.5632677589008		
11	DeAndre Hopkins	WR3	HOU	  vs.  NE	4	29	11.864077669903	4.4722413391843		
12	Matt Forte	RB9	NYJ	  vs.  TEN	5	33	12.466019417476	4.121493588213		
13	A.J. Green	WR4	CIN	  vs.  PIT	3	35	14.407766990291	4.9589321063135		
14	Allen Robinson	WR5	JAC	  vs.  IND	4	29	15.368932038835	4.7988475381502		
15	Lamar Miller	RB10	HOU	  vs.  NE	6	32	15.815533980583	4.8386541754322		
16	Brandon Marshall	WR6	NYJ	  vs.  TEN	4	26	16.543689320388	4.2899220329872		
17	Todd Gurley	RB11	LA	  	3	45	16.815533980583	7.0321695927277		
18	Chris Ivory	RB12	JAC	  vs.  IND	3	51	19.038834951456	5.8689942740041		
19	Shaun Draughn	RB13	SF	  at  CLE	6	50	20.116504854369	7.1070879031829		
20	Alshon Jeffery	WR7	CHI	  vs.  WAS	7	34	20.446601941748	4.704321820731		
21	T.J. Yeldon	RB14	JAC	  vs.  IND	9	37	21.485436893204	4.8066783591124		
22	Mike Evans	WR8	TB	  vs.  NO	3	70	22.21359223301	7.3993577331315		
23	Darren McFadden	RB15	DAL	  at  GB	9	60	25.941747572816	8.0058537354468		
24	Julio Jones	WR9	ATL	  at  CAR	10	55	27	6.7291569604266		
25	Sammy Watkins	WR10	BUF	  at  PHI	8	78	28.961165048544	7.9414389761298		
26	Charcandrick West	RB16	KC	  vs.  SD	5	63	29.019417475728	9.8137812576645		
27	Larry Fitzgerald	WR11	ARI	  vs.  MIN	10	51	30.660194174757	6.6472176792187		
28	Demaryius Thomas	WR12	DEN	  vs.  OAK	4	44	31.04854368932	6.3251365398773		
