 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Cam Newton	CAR	  at  ATL	1	6	1.5669291338583	0.94402848600006		
2	Ben Roethlisberger	PIT	  at  BAL	1	5	2.0708661417323	1.028576742854		
3	Blake Bortles	JAC	  at  NO	1	7	3.488188976378	1.2286997271124		
4	Russell Wilson	SEA	  vs.  STL	1	9	4.1417322834646	1.6203645426763		
5	Carson Palmer	ARI	  vs.  GB	2	8	4.8346456692913	1.0777914099067		
6	Tom Brady	NE	  at  NYJ	1	15	6.3622047244094	1.8851650080813		
7	Drew Brees	NO	  vs.  JAC	1	16	7.8174603174603	2.3550041069313		
8	Matthew Stafford	DET	  vs.  SF	2	18	8.2047244094488	2.2842789750512		
9	Aaron Rodgers	GB	  at  ARI	3	15	9	1.6648283825389		
10	Kirk Cousins	WAS	  at  PHI	2	20	10.262295081967	2.5311284293851		
11	Ryan Fitzpatrick	FA		5	21	11.582677165354	2.294948045942		
12	Derek Carr	OAK	  vs.  SD	6	19	11.762295081967	2.3541149138648		
13	Tyrod Taylor	BUF	  vs.  DAL	6	24	12.59842519685	2.5012118087281		
14	Philip Rivers	SD	  at  OAK	6	20	14.032786885246	2.3606557377049		
15	Eli Manning	NYG	  at  MIN	9	25	15.803149606299	2.7235900638469		
16	Jameis Winston	TB	  vs.  CHI	8	25	16.283464566929	2.7775750988671		
17	Alex Smith	KC	  vs.  CLE	9	29	16.65873015873	2.7289241394608		
18	Teddy Bridgewater	MIN	  vs.  NYG	7	25	17.568	2.800959835485		
19	Jay Cutler	CHI	  at  TB	13	24	19.193548387097	2.0465447645886		
20	Sam Bradford	PHI	  vs.  WAS	13	27	19.5	2.3513163386899		
21	Ryan Tannehill	MIA	  vs.  IND	12	27	19.790322580645	2.6435380542615		
22	Matt Ryan	ATL	  vs.  CAR	12	29	22.098360655738	2.714290765878		
23	Brock Osweiler	HOU	  at  TEN	12	29	23.159663865546	2.5304305717823		
24	Johnny Manziel	FA		11	28	23.261261261261	2.6735666757312		
25	Matt Hasselbeck	FA		17	32	26.153846153846	2.9344414708019		
26	Brandon Weeden	HOU	  at  TEN	15	32	26.237623762376	3.1407526210706		
27	Blaine Gabbert	SF	  at  DET	20	33	26.320754716981	2.3654237715643		
28	Ryan Mallett	BAL	  vs.  PIT	20	32	27.076923076923	3.2072403297141		
29	Zach Mettenberger	TEN	  vs.  HOU	19	32	27.329787234043	2.738178839847		
30	AJ McCarron	CIN	  at  DEN	23	32	27.878048780488	2.2920341583376		
31	Jimmy Clausen	FA		17	50	27.888888888889	4.38797458831		
32	Brian Hoyer	CHI	  at  TB	14	50	27	9.5131487952202		
33	Matt Schaub	ATL	  vs.  CAR	13	50	31.4	8.1510735489259		
34	Kellen Moore	DAL	  at  BUF	22	33	29.5	2.0696215435034		
35	Charlie Whitehurst	FA		22	34	31.454545454545	3.3128849378707		
36	Mark Sanchez	DEN	  vs.  CIN	24	51	35.666666666667	8.1171971079239		
37	Nick Foles	LA	  	25	64	36.25	11.4209237805		
38	Case Keenum	LA	  	28	33	31.189655172414	1.1956371343163		
39	Derek Anderson	CAR	  at  ATL	33	48	38.8	5.1923019942989		
40	Matt Cassel	TEN	  vs.  HOU	34	62	43.25	11.121488209768		
41	Ryan Nassib	NYG	  at  MIN	34	50	42	8		
42	Chad Henne	JAC	  at  NO	34	36	35	1		
43	Matt Flynn	FA		34	36	35	0.81649658092773		
44	Colt McCoy	WAS	  at  PHI	35	46	40.5	5.5		
45	Drew Stanton	ARI	  vs.  GB	36	53	42.666666666667	7.4087035902976		
46	E.J. Manuel	BUF	  vs.  DAL	36	53	43.333333333333	7.1336448530109		
47	Tarvaris Jackson	FA		37	52	44.5	7.5		
48	Mike Glennon	TB	  vs.  CHI	37	47	42	5		
49	Geno Smith	NYJ	  vs.  NE	37	45	40.666666666667	3.2998316455372		
50	Scott Tolzien	IND	  at  MIA	38	43	40.333333333333	2.0548046676563		
51	Jimmy Garoppolo	NE	  at  NYJ	38	41	39.333333333333	1.2472191289246		
52	Dan Orlovsky	DET	  vs.  SF	39	45	42	3		
53	Shaun Hill	MIN	  vs.  NYG	41	57	50	6.6833125519211		
54	Austin Davis	CLE	  at  KC	42	59	49.333333333333	7.1336448530109		
55	Kellen Clemens	FA		42	44	43	1		
56	Landry Jones	PIT	  at  BAL	43	50	46.5	3.5		
57	Matt Moore	MIA	  vs.  IND	43	48	45	2.1602468994693		
58	Matt McGloin	OAK	  vs.  SD	44	49	46.5	2.5		
59	Chase Daniel	PHI	  vs.  WAS	46	56	51	5		
60	Alex Tanney	TEN	  vs.  HOU	50	63	56.5	6.5		
61	Trevor Siemian	DEN	  vs.  CIN	50	54	52	2		
62	Sean Renfree	ATL	  vs.  CAR	51	55	53	2		
