 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
62	Roddy White	WR25	FA		32	94	65.053571428571	11.724394049004		
63	Eric Decker	WR26	NYJ	  at  IND	26	97	65.553571428571	13.648547336173		
64	Kendall Wright	WR27	TEN	  at  CLE	40	100	65.776785714286	11.832695186755		
65	Allen Robinson	WR28	JAC	  vs.  MIA	28	101	66.339285714286	11.864979660621		
66	Andre Johnson	WR29	FA		36	106	66.964285714286	11.046919877301		
67	Pierre Garcon	WR30	WAS	  vs.  STL	45	100	68.535714285714	12.070424725801		
68	Steve Johnson	WR31	SD	  at  CIN	44	126	69.972972972973	10.89711050176		
69	Sammy Watkins	WR32	BUF	  vs.  NE	38	120	72.080357142857	13.284079080437		
70	Tyler Eifert	TE7	CIN	  vs.  SD	21	117	72.258928571429	14.367464196004		
71	Mike Wallace	WR33	BAL	  at  OAK	39	105	72.794642857143	12.520082719416		
72	Anquan Boldin	WR34	FA		20	100	74.696428571429	12.42034569748		
73	Donte Moncrief	WR35	IND	  vs.  NYJ	29	98	74.982142857143	12.017087642527		
74	Charles Johnson	WR36	MIN	  vs.  DET	33	123	78.892857142857	12.624633759085		
75	Brandon Coleman	WR37	NO	  vs.  TB	38	135	81.684684684685	13.361894173042		
76	James Jones	WR38	FA		35	123	82.348214285714	10.324822569756		
77	Ryan Mathews	RB32	PHI	  vs.  DAL	42	145	81.7	19.323349041556		
78	Tre Mason	RB33	LA	  	25	142	79.561904761905	29.716733720895		
79	Ronnie Hillman	RB34	DEN	  at  KC	30	137	82.62962962963	21.327513352211		
80	Darren Sproles	RB35	PHI	  vs.  DAL	24	143	84.558558558559	22.970676444124		
81	Jordan Cameron	TE8	MIA	  at  JAC	39	111	85.741071428571	15.444454353606		
82	Eddie Royal	WR39	CHI	  vs.  ARI	38	120	85.297297297297	14.198461149072		
83	Nelson Agholor	WR40	PHI	  vs.  DAL	40	178	86.477477477477	16.231349295212		
84	David Johnson	RB36	ARI	  at  CHI	34	134	87.144144144144	21.836760000755		
85	Shane Vereen	RB37	NYG	  vs.  ATL	48	142	86.110091743119	19.241745257176		
86	Joique Bell	RB38	FA		38	134	85.537037037037	19.389490245017		
87	Marques Colston	WR41	FA		63	126	88.125	9.9284269002841		
88	Rueben Randle	WR42	PHI	  vs.  DAL	63	132	90.955357142857	9.3152988534771		
89	Cole Beasley	WR43	DAL	  at  PHI	63	113	90.693693693694	8.9168256711859		
90	Torrey Smith	WR44	SF	  at  PIT	37	137	92.405405405405	13.672078720786		
91	Jordan Reed	TE9	WAS	  vs.  STL	56	133	94.535714285714	13.835725348473		
92	Markus Wheaton	WR45	PIT	  vs.  SF	68	124	94.72972972973	9.1523107365761		
93	Dion Lewis	RB39	NE	  at  BUF	54	143	93.18691588785	19.082276770604		
94	Austin Seferian-Jenkins	TE10	TB	  at  NO	41	138	97.616071428571	15.338004582289		
95	Allen Hurns	WR46	JAC	  vs.  MIA	69	124	98.203703703704	9.2082483749316		
96	Alfred Blue	RB40	HOU	  at  CAR	54	150	100.13513513514	18.503706220664		
97	C.J. Spiller	RB41	NO	  vs.  TB	34	145	95.80198019802	22.881537285638		
98	Ladarius Green	TE11	PIT	  vs.  SF	30	140	103.9009009009	16.171911448839		
99	Benny Cunningham	RB42	LA	  	10	145	101.4380952381	26.658304811437		
100	Michael Floyd	WR47	ARI	  at  CHI	64	136	102.00952380952	11.504446542508		
101	T.Y. Hilton	WR48	IND	  vs.  NYJ	28	158	88.441558441558	26.222075317085		
102	Doug Baldwin	WR49	SEA	  at  GB	68	144	106.00943396226	12.834575415443		
103	Zach Ertz	TE12	PHI	  vs.  DAL	56	140	109.32432432432	15.330098853229		
104	Devonta Freeman	RB43	ATL	  at  NYG	56	144	109.17757009346	15.692615731231		
105	Tyler Lockett	WR50	SEA	  at  GB	77	179	107.25773195876	15.627281425536		
106	Kyle Rudolph	TE13	MIN	  vs.  DET	39	146	113.78571428571	14.430516134857		
107	Danny Amendola	WR51	NE	  at  BUF	67	147	110.24242424242	13.642692134198		
108	Duke Johnson	RB44	CLE	  vs.  TEN	65	148	114.52380952381	18.000579481728		
109	Dwayne Allen	TE14	IND	  vs.  NYJ	45	140	116.51376146789	15.240948391413		
110	Kenny Britt	WR52	LA	  	93	152	114.42	11.401912120342		
111	Marvin Jones	WR53	DET	  at  MIN	90	150	112.50526315789	12.647341042965		
112	Lance Dunbar	RB45	DAL	  at  PHI	33	159	113.23404255319	21.485485220193		
113	Michael Crabtree	WR54	OAK	  vs.  BAL	84	147	115.63265306122	11.309547849189		
114	Phillip Dorsett	WR55	IND	  vs.  NYJ	92	180	116.08333333333	13.738378927499		
115	Tavon Austin	WR56	LA	  	76	148	118.79787234043	15.341211211326		
116	Nate Washington	WR57	NE	  at  BUF	81	148	118.84444444444	12.376421230272		
117	Darren McFadden	RB46	DAL	  at  PHI	65	167	122.10309278351	17.056899644608		
118	Vernon Davis	TE15	FA		79	142	125.01886792453	11.015410416454		
119	Devante Parker	WR58	MIA	  at  JAC	83	233	119.9156626506	21.59216994362		
120	Karlos Williams	RB47	BUF	  vs.  NE	40	172	119.84705882353	26.077488999632		
121	Larry Donnell	TE16	NYG	  vs.  ATL	95	146	125.65384615385	10.274847210888		
122	Alshon Jeffery	WR59	CHI	  vs.  ARI	18	74	34.238095238095	14.151913085902		
123	Dorial Green-Beckham	WR60	TEN	  at  CLE	94	199	119.30136986301	14.595631671048		
124	Jermaine Kearse	WR61	FA		88	149	121.55696202532	14.651864559656		
125	Cecil Shorts	WR62	HOU	  at  CAR	77	156	124.98876404494	14.263565892005		
126	Marquess Wilson	WR63	CHI	  vs.  ARI	70	176	110.05555555556	20.740385248276		
127	Jerricho Cotchery	WR64	FA		72	147	125.23529411765	14.724646851911		
128	Charles Clay	TE17	BUF	  vs.  NE	81	149	129.59405940594	10.936520903003		
129	Khiry Robinson	RB48	NYJ	  at  IND	69	159	127.11363636364	16.958124774508		
130	Kamar Aiken	WR65	BAL	  at  OAK	87	160	125.55555555556	14.130782439259		
131	Jared Cook	TE18	GB	  vs.  SEA	37	149	129	16.898948727217		
132	Bilal Powell	RB49	NYJ	  at  IND	49	150	124.33766233766	19.584389748166		
133	Eric Ebron	TE19	DET	  at  MIN	79	149	130.85148514851	11.509261134136		
