 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Rob Gronkowski	NE	  at  IND	1	2	1.0073529411765	0.08543345616634		
2	Greg Olsen	CAR	  at  SEA	2	9	3.6029411764706	1.7459171353757		
3	Antonio Gates	SD	  at  GB	2	12	3.6838235294118	1.5704167950053		
4	Tyler Eifert	CIN	  at  BUF	2	10	3.9264705882353	1.4834000736641		
5	Travis Kelce	KC	  at  MIN	1	15	4.1176470588235	1.6317566478447		
6	Martellus Bennett	NE	  at  IND	2	19	6.1617647058824	2.5930353217669		
7	Jimmy Graham	SEA	  vs.  CAR	3	17	7.7426470588235	2.212917702443		
8	Delanie Walker	TEN	  vs.  MIA	5	19	9.3529411764706	2.0129339567375		
9	Gary Barnidge	CLE	  vs.  DEN	4	22	9.2388059701493	3.0814299464033		
10	Charles Clay	BUF	  vs.  CIN	4	24	11.185185185185	3.1131386691109		
11	Julius Thomas	JAC	  vs.  HOU	6	22	11.822222222222	2.7725283732086		
12	Jordan Cameron	MIA	  at  TEN	5	25	12.404411764706	3.0107129223887		
13	Richard Rodgers	GB	  vs.  SD	5	20	12.874074074074	2.6315173193275		
14	Zach Ertz	PHI	  vs.  NYG	6	22	14.177777777778	3.2634148591943		
15	Larry Donnell	NYG	  at  PHI	4	28	15.351145038168	3.5120809257968		
16	Kyle Rudolph	MIN	  vs.  KC	8	27	15.854961832061	2.5980678005497		
17	Jacob Tamme	ATL	  at  NO	3	28	15.637096774194	3.8819987315718		
18	Crockett Gillmore	BAL	  at  SF	5	31	18.952830188679	5.1237185705337		
19	Derek Carrier	WAS	  at  NYJ	12	29	18.932773109244	2.980979175989		
20	Owen Daniels	FA		13	29	20.389830508475	2.9344069314036		
21	Coby Fleener	NO	  vs.  ATL	12	30	20.736	2.7368419757085		
22	Ladarius Green	PIT	  vs.  ARI	10	33	21.964912280702	3.8203743376827		
23	Vernon Davis	FA		8	31	23.575	5.1204858167951		
24	Darren Fells	ARI	  at  PIT	5	36	25.102040816327	4.5321747627344		
25	Dwayne Allen	IND	  vs.  NE	12	32	22.836206896552	3.1347440238598		
26	Benjamin Watson	BAL	  at  SF	8	33	25.343434343434	4.2856622984783		
27	Brent Celek	PHI	  vs.  NYG	11	43	27.104651162791	5.3527412446149		
28	Tim Wright	DET	  vs.  CHI	11	36	26.906976744186	4.5228821511231		
29	Jordan Reed	WAS	  at  NYJ	10	32	24	7.6157731058639		
30	Garrett Celek	SF	  vs.  BAL	17	41	26.939759036145	3.5205058425913		
31	Josh Hill	NO	  vs.  ATL	13	44	31.862068965517	5.1776984497577		
32	Jeff Cumberland	FA		20	47	31.882352941176	4.548850571572		
33	Maxx Williams	BAL	  at  SF	20	41	28.833333333333	3.8809748533024		
34	Nick Boyle	BAL	  at  SF	21	54	37.785714285714	9.1431361564569		
35	Jake Stoneburner	MIA	  at  TEN	21	51	36.2	11.548160026602		
36	Levine Toilolo	ATL	  at  NO	22	58	41.5	10.547511554864		
37	Scott Chandler	FA		22	40	29.741935483871	3.3016881501739		
38	Jermaine Gresham	ARI	  at  PIT	25	42	33.352941176471	4.2694699556762		
39	Marcedes Lewis	JAC	  vs.  HOU	26	50	39.0625	6.580926511518		
40	C.J. Fiedorowicz	HOU	  at  JAC	26	44	37.285714285714	4.5580160381554		
41	Anthony Fasano	TEN	  vs.  MIA	27	43	33.75	4.9011053175109		
42	Brandon Pettigrew	DET	  vs.  CHI	27	40	33.8	4.7916594202844		
43	Luke Willson	SEA	  vs.  CAR	27	39	34.071428571429	3.5749982160692		
44	Ed Dickson	CAR	  at  SEA	28	44	37.888888888889	4.9764879281242		
45	Eric Ebron	DET	  vs.  CHI	28	30	29	1		
46	Garrett Graham	DEN	  at  CLE	29	43	35.421052631579	3.7320206107865		
47	Virgil Green	DEN	  at  CLE	30	49	37.6	6.2241465278382		
48	Khari Lee	CHI	  at  DET	32	61	46.5	14.5		
49	Kellen Davis	NYJ	  vs.  WAS	32	59	43.875	10.005467255456		
50	Rob Housler	CHI	  at  DET	35	52	46	6.0663003552412		
51	Dion Sims	MIA	  at  TEN	35	44	40	3.4058772731853		
52	Vance McDonald	SF	  vs.  BAL	36	55	43	5.6960024968784		
53	Craig Stevens	TEN	  vs.  MIA	36	48	43.6	4.2237424163886		
54	Jack Doyle	IND	  vs.  NE	39	56	49.4	5.74804314528		
55	James O'Shaughnessy	KC	  at  MIN	40	50	45.666666666667	3.1972210155418		
56	Rhett Ellison	MIN	  vs.  KC	44	53	48.5	3.3541019662497		
57	Blake Bell	SF	  vs.  BAL	45	65	56	8.286535263104		
58	Anthony McCoy	FA		45	55	51.333333333333	4.4969125210773		
59	Matthew Mulligan	DET	  vs.  CHI	46	63	52.8	6.3055531081738		
60	Clay Harbor	NE	  at  IND	46	60	54	5.8878405775519		
61	Michael Williams	NE	  at  IND	49	66	58	6.9761498454855		
62	Jim Dray	BUF	  vs.  CIN	49	52	50.666666666667	1.2472191289246		
