 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Stephen Gostkowski	NE	  at  NYG	1	15	1.4102564102564	1.8450851607698		
2	Brandon McManus	DEN	  vs.  KC	1	14	3.2672413793103	2.4787293693672		
3	Justin Tucker	BAL	  vs.  JAC	1	13	3.1754385964912	1.7929961890503		
4	Mason Crosby	GB	  vs.  DET	1	15	4.6637931034483	2.3339472466826		
5	Steven Hauschka	SEA	  vs.  ARI	1	22	6.6842105263158	2.9239356722281		
6	Josh Brown	NYG	  vs.  NE	3	21	7.017094017094	3.503314440367		
7	Blair Walsh	MIN	  at  OAK	2	23	9.0521739130435	3.9800447414153		
8	Mike Nugent	CIN	  vs.  HOU	2	20	9.2136752136752	3.2154250555216		
9	Sebastian Janikowski	OAK	  vs.  MIN	3	26	9.551724137931	4.0818032432987		
10	Caleb Sturgis	PHI	  vs.  MIA	2	24	10.811965811966	3.5153670558411		
11	Graham Gano	CAR	  at  TEN	4	22	10.939130434783	3.2844480881659		
12	Dan Bailey	DAL	  at  TB	3	24	12.345132743363	4.0892042446007		
13	Greg Zuerlein	LA	  	2	22	13.118181818182	3.3998176907856		
14	Chandler Catanzaro	ARI	  at  SEA	4	25	14.398230088496	3.3984374936707		
15	Kai Forbath	NO	  at  WAS	2	24	15.390909090909	4.9983551013317		
16	Robbie Gould	CHI	  at  STL	4	28	15.504504504505	4.5239579933566		
17	Chris Boswell	PIT	  vs.  CLE	4	21	14.528301886792	3.4455537309173		
18	Connor Barth	TB	  vs.  DAL	3	25	16.375	4.6558224506856		
19	Dustin Hopkins	WAS	  vs.  NO	4	27	16.785046728972	4.1333565310495		
20	Jason Myers	JAC	  at  BAL	5	26	18.173913043478	5.0746786054843		
21	Dan Carpenter	BUF	  at  NYJ	8	25	18.455445544554	2.9702310223689		
22	Nick Novak	HOU	  at  CIN	2	28	22.8	6.9637154833704		
23	Randy Bullock	FA		9	26	17.444444444444	4.2975732457364		
24	Cairo Santos	KC	  at  DEN	7	28	21	4.9569575922564		
25	Matt Prater	DET	  at  GB	9	28	21.06976744186	4.1618161779931		
26	Travis Coons	CLE	  at  PIT	9	29	23.289473684211	4.8984846998404		
27	Andrew Franks	MIA	  at  PHI	8	26	21.106382978723	3.4408932694324		
28	Nick Folk	NYJ	  vs.  BUF	9	28	17.666666666667	5.1424162068472		
29	Ryan Succop	TEN	  vs.  CAR	18	29	24.617647058824	2.7654879995098		
