 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Seattle Seahawks	SEA	  vs.  CLE	1	9	1.3083333333333	1.0230333436512		
2	Kansas City Chiefs	KC	  at  BAL	1	12	2.5416666666667	1.5214895844387		
3	New England Patriots	NE	  vs.  TEN	1	17	4.4416666666667	2.3266421918484		
4	Carolina Panthers	CAR	  at  NYG	2	16	4.9583333333333	2.2486878890193		
5	Cincinnati Bengals	CIN	  at  SF	2	13	6.0672268907563	2.0114424459145		
6	Arizona Cardinals	ARI	  at  PHI	1	17	6.5416666666667	2.8133486373991		
7	New York Jets	NYJ	  at  DAL	1	19	5.6173913043478	2.9179582161554		
8	Houston Texans	HOU	  at  IND	2	27	8.375	3.5427449338989		
9	Denver Broncos	DEN	  at  PIT	2	21	9.9333333333333	3.3359989341858		
10	Green Bay Packers	GB	  at  OAK	3	31	11.529411764706	3.7658874196317		
11	Pittsburgh Steelers	PIT	  vs.  DEN	1	24	12.418803418803	3.6403233542845		
12	Los Angeles Rams	LA	  	2	29	12.113043478261	4.3233747233047		
13	Tampa Bay Buccaneers	TB	  at  STL	5	31	12.681034482759	4.0717681026269		
14	Buffalo Bills	BUF	  at  WAS	6	26	13.857142857143	3.1842197949075		
15	Minnesota Vikings	MIN	  vs.  CHI	6	29	14.765217391304	3.2526388879416		
16	Miami Dolphins	MIA	  at  SD	1	25	16.486725663717	3.4949142424254		
17	San Francisco 49ers	SF	  vs.  CIN	10	32	17.955357142857	3.7568708314071		
18	Jacksonville Jaguars	JAC	  vs.  ATL	10	25	17.028846153846	3.383946065813		
19	Chicago Bears	CHI	  at  MIN	7	28	18.171171171171	3.3848466607287		
20	Washington Redskins	WAS	  vs.  BUF	11	32	19.574074074074	2.9256328967191		
21	Indianapolis Colts	IND	  vs.  HOU	5	31	18.474576271186	5.8028512343134		
22	Detroit Lions	DET	  at  NO	9	30	20.603448275862	5.2749886588288		
23	Philadelphia Eagles	PHI	  vs.  ARI	10	32	21.88679245283	5.7811025172898		
24	Atlanta Falcons	ATL	  at  JAC	9	32	21.166666666667	5.9593530595937		
25	Dallas Cowboys	DAL	  vs.  NYJ	8	31	22.704545454545	4.3827116214765		
26	Baltimore Ravens	BAL	  vs.  KC	15	31	23.63829787234	4.0445683667079		
27	San Diego Chargers	SD	  vs.  MIA	12	31	23.9375	4.9975254293167		
28	New York Giants	NYG	  vs.  CAR	12	31	25.066666666667	5.0789325212642		
29	Oakland Raiders	OAK	  vs.  GB	18	32	26	3.7416573867739		
30	New Orleans Saints	NO	  vs.  DET	16	32	27.225	4.344464869233		
31	Cleveland Browns	CLE	  at  SEA	9	32	27.767441860465	4.5332734171376		
32	Tennessee Titans	TEN	  at  NE	11	32	28.47619047619	4.3437864502786		
