 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Julio Jones	ATL	  vs.  IND	1	9	1.3759398496241	1.2421271093493		
2	Dez Bryant	DAL	  at  MIA	1	15	3.5413533834586	2.5561698267898		
3	DeAndre Hopkins	HOU	  vs.  NYJ	1	18	5.390977443609	3.0945855856414		
4	Mike Evans	TB	  at  PHI	1	31	5.9473684210526	3.9552302661477		
5	Larry Fitzgerald	ARI	  vs.  CIN	2	19	7.2481203007519	3.3027808174908		
6	Allen Robinson	JAC	  vs.  TEN	2	17	5.8671875	2.2959580440077		
7	Amari Cooper	OAK	  at  DET	1	16	8.187969924812	2.8579144189711		
8	Demaryius Thomas	DEN	  at  CHI	2	29	8.5864661654135	3.6544911488641		
9	Brandon Marshall	NYJ	  at  HOU	3	17	10.022556390977	2.3282061422488		
10	A.J. Green	CIN	  at  ARI	3	28	11.541353383459	4.4307729059717		
11	Michael Crabtree	OAK	  at  DET	3	21	12.526315789474	3.7927095624486		
12	Eric Decker	NYJ	  at  HOU	4	33	13.368421052632	3.665473298144		
13	Randall Cobb	GB	  at  MIN	8	26	14.796992481203	3.7930672780592		
14	Jarvis Landry	MIA	  vs.  DAL	5	32	15.157894736842	3.572750052311		
15	Sammy Watkins	BUF	  at  NE	10	31	18.293233082707	3.4831106028934		
16	T.Y. Hilton	IND	  at  ATL	3	28	18.338345864662	3.6021865081886		
17	Allen Hurns	JAC	  vs.  TEN	6	27	16.78125	3.5420189775748		
18	Danny Amendola	NE	  vs.  BUF	9	30	19.481203007519	4.0608186584521		
19	Stefon Diggs	MIN	  vs.  GB	2	37	20.25	4.5199473716432		
20	Steve Johnson	SD	  vs.  KC	7	35	20.691729323308	4.3289208419718		
21	Brandon LaFell	CIN	  at  ARI	7	36	20.887218045113	4.5283636363628		
22	Jeremy Maclin	KC	  at  SD	11	38	23.413533834586	3.6544911488641		
23	Jordan Matthews	PHI	  vs.  TB	11	35	23.458646616541	4.1139982531595		
24	Davante Adams	GB	  at  MIN	10	39	24.233082706767	4.0297525401088		
25	Kamar Aiken	BAL	  vs.  STL	18	48	28.240601503759	4.4046291027656		
26	Tavon Austin	LA	  	7	44	28.484848484848	5.1573496371754		
27	Rishard Matthews	TEN	  at  JAC	20	42	29.947368421053	3.9930687870296		
28	Golden Tate	DET	  vs.  OAK	5	51	30.105263157895	5.0326201458337		
29	John Brown	ARI	  vs.  CIN	11	78	30.909090909091	6.7436328504774		
30	Marvin Jones	DET	  vs.  OAK	13	50	31.556390977444	4.8347326303049		
31	Donte Moncrief	IND	  at  ATL	16	55	32.90977443609	5.1597905282081		
32	DeSean Jackson	WAS	  at  CAR	23	74	35.93984962406	5.4092087986147		
33	Ted Ginn	CAR	  vs.  WAS	23	53	37.699248120301	5.5018588279323		
34	Nate Washington	NE	  vs.  BUF	17	54	38.348484848485	5.617862270668		
35	James Jones	FA		28	68	38.962121212121	5.6103331384777		
36	Doug Baldwin	SEA	  vs.  SF	18	62	39.172932330827	5.8906211656518		
37	Dorial Green-Beckham	TEN	  at  JAC	21	58	39.6484375	5.6934582029373		
38	Chris Givens	PHI	  vs.  TB	26	54	40.184615384615	4.6637466209453		
39	Michael Floyd	ARI	  vs.  CIN	15	97	39.072727272727	14.628558054156		
40	Vincent Jackson	TB	  at  PHI	22	71	39.754385964912	9.9450784826702		
41	Jamison Crowder	WAS	  at  CAR	23	69	42.450381679389	6.5524469416412		
42	Pierre Garcon	WAS	  at  CAR	27	62	42.496183206107	5.7164207637397		
43	Terrance Williams	DAL	  at  MIA	27	67	42.692307692308	5.9495910057831		
44	Dontrelle Inman	SD	  vs.  KC	27	70	45.131782945736	6.9799045382971		
45	Robert Woods	BUF	  at  NE	22	63	45.381679389313	6.0814547466984		
46	Leonard Hankerson	BUF	  at  NE	26	71	47.573770491803	7.87808543021		
47	Anquan Boldin	FA		28	73	47.575	7.839709284576		
48	Marquess Wilson	CHI	  vs.  DEN	24	74	48.373913043478	11.584442993545		
49	Cecil Shorts	HOU	  vs.  NYJ	35	69	48.75	4.8515461453025		
50	Andre Johnson	FA		28	65	49.138211382114	6.2239051386432		
51	Devin Funchess	CAR	  vs.  WAS	32	70	50.35593220339	7.3870310355939		
52	Harry Douglas	TEN	  at  JAC	36	62	50.535087719298	5.0143300344173		
53	Mike Wallace	BAL	  vs.  STL	37	80	51.764705882353	5.0720951571557		
54	Emmanuel Sanders	DEN	  at  CHI	14	120	29.2	24.639264058274		
55	Alshon Jeffery	CHI	  vs.  DEN	7	120	21.583333333333	23.552984005335		
56	Torrey Smith	SF	  at  SEA	29	90	56.486956521739	6.6520545598841		
57	Tyler Lockett	SEA	  vs.  SF	41	74	56.11214953271	4.9129375319246		
58	Kenny Britt	LA	  	37	88	56.698113207547	6.4195600438812		
59	Cole Beasley	DAL	  at  MIA	32	73	58.441441441441	6.0145239897391		
60	Roddy White	FA		30	80	58.690265486726	5.9557061892527		
61	Jaron Brown	ARI	  vs.  CIN	32	96	61.533333333333	10.800411514794		
62	Cody Latimer	DEN	  at  CHI	35	110	64.423728813559	17.936992728154		
63	Lance Moore	FA		36	94	60.89	8.5963887766899		
64	Brian Quick	LA	  	31	88	63.670588235294	10.973109629822		
65	Wes Welker	FA		36	93	62.59793814433	8.8721268545941		
