 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Denver Broncos	DEN	  vs.  SD	1	11	1.5384615384615	1.3772698930895		
2	Carolina Panthers	CAR	  vs.  TB	1	14	3.3956043956044	2.4399564078214		
3	Kansas City Chiefs	KC	  vs.  OAK	1	14	3.6153846153846	1.9710499838625		
4	Cincinnati Bengals	CIN	  vs.  BAL	1	14	4.6153846153846	2.5322935387424		
5	New England Patriots	NE	  at  MIA	1	12	5.3406593406593	1.9285009849068		
6	Los Angeles Rams	LA	  	1	15	6.7362637362637	2.6512910594824		
7	Houston Texans	HOU	  vs.  JAC	1	24	6.8901098901099	2.6205047305565		
8	Pittsburgh Steelers	PIT	  at  CLE	2	23	7.2527472527473	2.8229569354129		
9	Arizona Cardinals	ARI	  vs.  SEA	1	22	9.5666666666667	3.4158129014596		
10	Seattle Seahawks	SEA	  at  ARI	4	30	11.714285714286	4.7700662660076		
11	Minnesota Vikings	MIN	  at  GB	7	31	13.066666666667	3.5270384177097		
12	New York Jets	NYJ	  at  BUF	6	21	12.659090909091	3.4800939238774		
13	Washington Redskins	WAS	  at  DAL	4	30	14	4.1108242974487		
14	Indianapolis Colts	IND	  vs.  TEN	2	29	13.752941176471	3.9967807114431		
15	Detroit Lions	DET	  at  CHI	5	27	14.9	3.454626527491		
16	Buffalo Bills	BUF	  vs.  NYJ	8	29	15.933333333333	3.7499629627801		
17	Green Bay Packers	GB	  vs.  MIN	7	25	16.337078651685	2.8440508387842		
18	Tennessee Titans	TEN	  at  IND	2	28	16.493827160494	3.8558067698822		
19	Chicago Bears	CHI	  vs.  DET	13	29	19.529411764706	2.7336174494361		
20	San Francisco 49ers	SF	  vs.  STL	10	32	19.949367088608	2.9592110399852		
21	Dallas Cowboys	DAL	  vs.  WAS	11	30	18.232558139535	4.8216431113399		
22	Philadelphia Eagles	PHI	  at  NYG	6	31	20.615384615385	6.6549206187463		
23	Baltimore Ravens	BAL	  at  CIN	13	29	21.809523809524	3.5672992000625		
24	New York Giants	NYG	  vs.  PHI	9	31	21.275	5.8180215709466		
25	Jacksonville Jaguars	JAC	  at  HOU	13	31	21.058823529412	4.249160307849		
26	Oakland Raiders	OAK	  at  KC	13	32	24.029411764706	5.0844936940238		
27	San Diego Chargers	SD	  at  DEN	8	32	25.225806451613	5.2652829928502		
28	Tampa Bay Buccaneers	TB	  at  CAR	13	32	26.25	4.315669125408		
29	Atlanta Falcons	ATL	  vs.  NO	17	32	26.833333333333	3.578485092264		
30	Miami Dolphins	MIA	  vs.  NE	6	32	27	5.5770465549305		
31	Cleveland Browns	CLE	  vs.  PIT	14	32	28.344827586207	3.8531300493456		
32	New Orleans Saints	NO	  at  ATL	14	32	29.689655172414	3.686914870241		
