 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Steven Hauschka	SEA	  vs.  DET	1	13	2.096	2.0016952815052		
2	Mason Crosby	GB	  at  SF	1	12	2.864	1.6701808285332		
3	Matt Bryant	ATL	  vs.  HOU	1	11	3.648	1.6793141457154		
4	Brandon McManus	DEN	  vs.  MIN	1	22	5.184	3.0103395157357		
5	Justin Tucker	BAL	  at  PIT	1	17	4.7899159663866	2.4661539122668		
6	Adam Vinatieri	IND	  vs.  JAC	1	20	5.768	2.9069186435124		
7	Dan Bailey	DAL	  at  NO	1	20	8	2.8170906978654		
8	Josh Brown	NYG	  at  BUF	3	23	9.0806451612903	3.772987124525		
9	Dan Carpenter	BUF	  vs.  NYG	2	26	9.390243902439	3.5398639134686		
10	Chandler Catanzaro	ARI	  vs.  STL	2	26	10.176	3.3634839080929		
11	Sebastian Janikowski	OAK	  at  CHI	2	24	11.155172413793	3.570963958228		
12	Josh Lambo	SD	  vs.  CLE	1	29	12.222222222222	3.5036272074433		
13	Graham Gano	CAR	  at  TB	7	23	13.35593220339	2.7231755631883		
14	Nick Folk	NYJ	  at  MIA	5	24	13.95	2.4693116449732		
15	Mike Nugent	CIN	  vs.  KC	5	26	15.105769230769	3.3909332424036		
16	Blair Walsh	MIN	  at  DEN	7	29	16.02752293578	3.7745130692613		
17	Robbie Gould	CHI	  vs.  OAK	6	30	17.6875	4.1231732968327		
18	Matt Prater	DET	  at  SEA	6	30	18.509433962264	4.329027262341		
19	Josh Scobee	NO	  vs.  DAL	7	26	17.469879518072	3.7298449510641		
20	Caleb Sturgis	PHI	  at  WAS	6	30	17.701492537313	4.4117039906017		
21	Zach Hocker	CIN	  vs.  KC	2	29	17.896551724138	5.6528590726818		
22	Cairo Santos	KC	  at  CIN	6	28	19.153846153846	5.5100768366296		
23	Andrew Franks	MIA	  vs.  NYJ	11	26	19.265625	3.4289310811644		
24	Greg Zuerlein	LA	  	9	30	20.328767123288	4.1744650859706		
25	Nick Novak	HOU	  at  ATL	1	30	18.761904761905	5.3265262682322		
26	Phil Dawson	SF	  vs.  GB	2	28	20.098039215686	5.2215800401899		
27	Randy Bullock	FA		14	23	18.121212121212	2.1568435938514		
28	Dustin Hopkins	WAS	  vs.  PHI	16	30	23.147058823529	3.7583816365494		
29	Jason Myers	JAC	  at  IND	15	30	26.58064516129	3.4433122983207		
30	Travis Coons	CLE	  at  SD	16	30	26.53125	3.3632608339973		
31	Kyle Brindza	FA		17	30	26.9	3.2593455375786		
