 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Stephen Gostkowski	NE	  at  DAL	1	16	1.9487179487179	1.8109172905651		
2	Justin Tucker	BAL	  vs.  CLE	1	17	3.0924369747899	2.9161722253167		
3	Matt Bryant	ATL	  vs.  WAS	1	14	3.85	2.1895585552039		
4	Mason Crosby	GB	  vs.  STL	1	14	4.7416666666667	2.1193388644156		
5	Brandon McManus	DEN	  at  OAK	1	20	5.1680672268908	2.7844687127506		
6	Steven Hauschka	SEA	  at  CIN	1	26	6.175	3.5582357519797		
7	Josh Brown	NYG	  vs.  SF	4	16	7.5	2.422120283278		
8	Cairo Santos	KC	  vs.  CHI	1	21	8.3589743589744	3.2144479885569		
9	Chandler Catanzaro	ARI	  at  DET	3	20	9.6050420168067	2.4191758003205		
10	Adam Vinatieri	IND	  at  HOU	2	27	10.384615384615	4.2120018868474		
11	Dan Bailey	DAL	  vs.  NE	1	23	11.35593220339	3.5950187376726		
12	Josh Lambo	SD	  vs.  PIT	2	27	12.48275862069	3.4202307812352		
13	Dan Carpenter	BUF	  at  TEN	3	26	12.692307692308	2.9102281711044		
14	Robbie Gould	CHI	  at  KC	6	28	14.95652173913	3.5713626783011		
15	Caleb Sturgis	PHI	  vs.  NO	1	28	15.616161616162	4.3221465643098		
16	Sebastian Janikowski	OAK	  vs.  DEN	8	26	15.9	3.4137422813734		
17	Zach Hocker	CIN	  vs.  SEA	5	23	16.8	3.79071547462		
18	Mike Nugent	CIN	  vs.  SEA	7	27	16.045871559633	3.2492351142292		
19	Matt Prater	DET	  vs.  ARI	6	26	17.892156862745	3.4723187222269		
20	Nick Novak	HOU	  vs.  IND	3	28	18.95652173913	5.397086660731		
21	Chris Boswell	PIT	  at  SD	7	25	17.611111111111	4.2835458947114		
22	Phil Dawson	SF	  at  NYG	2	28	20.826923076923	5.029609075825		
23	Dustin Hopkins	WAS	  at  ATL	8	27	19.906976744186	4.392456289512		
24	Greg Zuerlein	LA	  	10	28	18.447916666667	3.091890574776		
25	Connor Barth	TB	  vs.  JAC	9	28	21.827586206897	5.0587511442173		
26	Travis Coons	CLE	  at  BAL	9	28	21.564102564103	4.7056696397762		
27	Jason Myers	JAC	  at  TB	12	28	22.692307692308	3.6735635333461		
28	Ryan Succop	TEN	  vs.  BUF	13	28	22.390243902439	3.6949408311081		
29	Josh Scobee	NO	  at  PHI	15	23	19	2.9154759474227		
30	Kyle Brindza	FA		18	28	23.333333333333	4.1096093353127		
