 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Aaron Rodgers	GB	  vs.  KC	1	5	1.8467153284672	1.0100987228539		
2	Tom Brady	NE	  vs.  JAC	1	11	2.0875912408759	1.2927334958568		
3	Andrew Luck	IND	  at  TEN	1	11	3.6058394160584	1.7145051603934		
4	Russell Wilson	SEA	  vs.  CHI	1	8	4.043795620438	1.6068676203937		
5	Ben Roethlisberger	PIT	  at  STL	1	11	5.4671532846715	1.8484599819771		
6	Carson Palmer	ARI	  vs.  SF	1	14	6.2189781021898	2.1160330895373		
7	Cam Newton	CAR	  vs.  NO	2	14	7.5693430656934	2.1334856180218		
8	Matt Ryan	ATL	  at  DAL	3	18	7.963503649635	2.0232544395995		
9	Eli Manning	NYG	  vs.  WAS	6	23	10.909090909091	2.7204460013536		
10	Ryan Tannehill	MIA	  vs.  BUF	8	18	11.868613138686	1.9624858295948		
11	Philip Rivers	SD	  at  MIN	8	27	12.301470588235	2.4950534974259		
12	Marcus Mariota	TEN	  vs.  IND	6	27	14.397058823529	3.0995241849372		
13	Tyrod Taylor	BUF	  at  MIA	7	30	15.492647058824	3.6742272567516		
14	Andy Dalton	CIN	  at  BAL	7	28	16.065693430657	3.941551770378		
15	Colin Kaepernick	SF	  at  ARI	8	25	16.940740740741	3.79817297787		
16	Teddy Bridgewater	MIN	  vs.  SD	10	27	17.598540145985	3.4776866503711		
17	Nick Foles	LA	  	9	30	18.422222222222	4.4346558873836		
18	Ryan Fitzpatrick	FA		9	29	19.125925925926	3.3498029342361		
19	Sam Bradford	PHI	  at  NYJ	12	28	19.874015748031	3.4686268266771		
20	Matthew Stafford	DET	  vs.  DEN	7	28	20.369230769231	3.7026777452551		
21	Alex Smith	KC	  at  GB	9	28	21.840909090909	3.5415917185393		
22	Joe Flacco	BAL	  vs.  CIN	10	28	21.837209302326	3.1593118122045		
23	Blake Bortles	JAC	  at  NE	11	30	22.077519379845	3.9642049616924		
24	Derek Carr	OAK	  at  CLE	10	31	23.409448818898	3.7508095309072		
25	Kirk Cousins	WAS	  at  NYG	14	32	25.860869565217	3.9604280763832		
26	Jameis Winston	TB	  at  HOU	13	31	25.567796610169	3.3609895979126		
27	Ryan Mallett	BAL	  vs.  CIN	15	32	26.794392523364	3.2861599262481		
28	Drew Brees	NO	  at  CAR	13	18	15	1.6329931618555		
29	Josh McCown	CLE	  vs.  OAK	18	31	27.929292929293	2.832896669569		
30	Brandon Weeden	HOU	  vs.  TB	14	32	27.650602409639	2.748203070923		
31	Johnny Manziel	FA		16	63	29.880952380952	6.7830404088586		
32	Luke McCown	NO	  at  CAR	24	34	29.851351351351	2.1665917463775		
33	Jimmy Clausen	FA		28	33	31.632352941176	0.85585203099714		
34	Brian Hoyer	CHI	  at  SEA	29	42	32.888888888889	3.510126444207		
35	Dan Orlovsky	DET	  vs.  DEN	30	37	33.8	2.315167380558		
36	Mark Sanchez	DEN	  at  DET	33	60	42.333333333333	12.498888839502		
37	Matt McGloin	OAK	  at  CLE	33	58	45.5	12.5		
