 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Stephen Gostkowski	NE	  at  IND	1	10	1.2892561983471	1.2021882013863		
2	Justin Tucker	BAL	  at  SF	1	15	3.8	2.791654228828		
3	Matt Bryant	ATL	  at  NO	1	10	3.8103448275862	1.8933358314755		
4	Brandon McManus	DEN	  at  CLE	1	16	5.0578512396694	2.6915770689999		
5	Mason Crosby	GB	  vs.  SD	2	14	5.2333333333333	2.0360637405434		
6	Steven Hauschka	SEA	  vs.  CAR	2	19	5.6280991735537	2.9433556815055		
7	Josh Brown	NYG	  at  PHI	1	21	7.2066115702479	2.8774338756306		
8	Chandler Catanzaro	ARI	  at  PIT	1	16	8.3471074380165	2.2698554357493		
9	Adam Vinatieri	IND	  vs.  NE	2	21	9.025	3.2235138694702		
10	Robbie Gould	CHI	  at  DET	4	22	11.637931034483	3.209352044723		
11	Cairo Santos	KC	  at  MIN	5	26	13.133333333333	4.133064507387		
12	Zach Hocker	CIN	  at  BUF	4	22	13.333333333333	3.0798344301211		
13	Dan Carpenter	BUF	  vs.  CIN	7	25	13.938053097345	3.9939848264159		
14	Caleb Sturgis	PHI	  vs.  NYG	4	25	13.637168141593	3.7488923364761		
15	Matt Prater	DET	  vs.  CHI	2	25	14.784482758621	3.9343886930035		
16	Josh Lambo	SD	  at  GB	3	25	15.646017699115	3.7224988133801		
17	Mike Nugent	CIN	  at  BUF	2	25	15.844036697248	3.4830502079279		
18	Blair Walsh	MIN	  vs.  KC	3	27	16.495495495495	3.9566886552829		
19	Nick Folk	NYJ	  vs.  WAS	3	27	16.942528735632	4.3320678660774		
20	Nick Novak	HOU	  at  JAC	1	28	18.133333333333	5.0380772346424		
21	Phil Dawson	SF	  vs.  BAL	2	29	18.813725490196	3.952488399995		
22	Graham Gano	CAR	  at  SEA	4	28	19.796296296296	5.7683030100639		
23	Ryan Succop	TEN	  vs.  MIA	10	28	19.938775510204	5.0037054158273		
24	Travis Coons	CLE	  vs.  DEN	6	28	21.471698113208	5.3574274789196		
25	Jason Myers	JAC	  vs.  HOU	5	27	20.760869565217	4.983384490784		
26	Chris Boswell	PIT	  vs.  ARI	11	28	20.72972972973	4.14369366921		
27	Randy Bullock	FA		8	27	21.25	7.6933412767146		
28	Dustin Hopkins	WAS	  at  NYJ	13	28	23.075	4.3265893033659		
29	Andrew Franks	MIA	  at  TEN	14	28	23.323529411765	3.9758135551866		
30	Jay Feely	FA		22	28	25	3		
