 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Seattle Seahawks	SEA	  vs.  SF	1	10	1.260162601626	0.92690058205175		
2	Carolina Panthers	CAR	  vs.  WAS	1	12	2.5691056910569	1.5306160129416		
3	Denver Broncos	DEN	  at  CHI	1	13	3.8861788617886	1.9431064393582		
4	New York Jets	NYJ	  at  HOU	1	8	4.0243902439024	1.4168751523346		
5	Philadelphia Eagles	PHI	  vs.  TB	2	12	5.7154471544715	2.0581794986913		
6	New England Patriots	NE	  vs.  BUF	1	19	6.2845528455285	2.3077117981113		
7	Los Angeles Rams	LA	  	3	16	7.1788617886179	2.2882965593426		
8	Arizona Cardinals	ARI	  vs.  CIN	3	27	9.1885245901639	4.0353600347492		
9	Kansas City Chiefs	KC	  at  SD	3	23	11.405172413793	3.2930921646313		
10	Cincinnati Bengals	CIN	  at  ARI	5	28	12.09243697479	4.2957700450142		
11	Green Bay Packers	GB	  at  MIN	4	22	12.827868852459	3.1144628854375		
12	Tennessee Titans	TEN	  at  JAC	4	22	11.447368421053	3.8390699377679		
13	Baltimore Ravens	BAL	  vs.  STL	2	24	12.99173553719	3.6032489191055		
14	Dallas Cowboys	DAL	  at  MIA	5	23	14.512195121951	3.0851489367496		
15	Houston Texans	HOU	  vs.  NYJ	3	24	14.638655462185	3.5235846254044		
16	Chicago Bears	CHI	  vs.  DEN	4	26	15.220338983051	3.7712911811774		
17	Minnesota Vikings	MIN	  vs.  GB	6	27	17.260504201681	3.994664897703		
18	Tampa Bay Buccaneers	TB	  at  PHI	7	28	16.973451327434	3.7237819223409		
19	Oakland Raiders	OAK	  at  DET	5	27	17.269565217391	3.5711932949778		
20	Miami Dolphins	MIA	  vs.  DAL	8	24	19.09009009009	2.9024672621926		
21	Jacksonville Jaguars	JAC	  vs.  TEN	3	26	15.338983050847	5.6406820404157		
22	Atlanta Falcons	ATL	  vs.  IND	6	27	16.590163934426	5.3266328957337		
23	Buffalo Bills	BUF	  at  NE	11	28	20.62962962963	4.2830254809227		
24	San Francisco 49ers	SF	  at  SEA	16	28	23.588235294118	3.5928931517008		
25	San Diego Chargers	SD	  vs.  KC	12	28	23.311111111111	3.318783058239		
26	Detroit Lions	DET	  vs.  OAK	18	28	24.431818181818	2.2401068082564		
27	Indianapolis Colts	IND	  at  ATL	20	28	24.697674418605	2.338105809778		
28	Washington Redskins	WAS	  at  CAR	15	28	25.404761904762	2.7434729798067		
29	Pittsburgh Steelers	PIT	  	25	29	27	1.6329931618555		
