 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Stephen Gostkowski	NE	  vs.  JAC	1	20	1.6910569105691	2.1644957778594		
2	Steven Hauschka	SEA	  vs.  CHI	1	11	2.6229508196721	1.5646078901886		
3	Justin Tucker	BAL	  vs.  CIN	1	19	4.9426229508197	2.9540169381621		
4	Mason Crosby	GB	  vs.  KC	1	14	5.2357723577236	1.9716746248374		
5	Matt Bryant	ATL	  at  DAL	1	17	5.2845528455285	3.0324004422782		
6	Brandon McManus	DEN	  at  DET	1	24	6.3770491803279	2.8467060886151		
7	Dan Bailey	DAL	  vs.  ATL	1	21	7.1967213114754	4.3242346887795		
8	Adam Vinatieri	IND	  at  TEN	3	22	7.7295081967213	2.6797262070993		
9	Josh Brown	NYG	  vs.  WAS	3	29	9.6120689655172	3.5471492967135		
10	Matt Prater	DET	  vs.  DEN	4	27	11.547008547009	3.910310120597		
11	Chandler Catanzaro	ARI	  vs.  SF	2	26	12.570247933884	4.2090544790903		
12	Blair Walsh	MIN	  vs.  SD	4	31	13.27731092437	3.6274498988783		
13	Cody Parkey	PHI	  at  NYJ	3	25	13.737288135593	4.0681232213512		
14	Josh Scobee	NO	  at  CAR	3	30	14.645454545455	4.5857216417055		
15	Graham Gano	CAR	  vs.  NO	1	30	15.883495145631	4.9860017074481		
16	Dan Carpenter	BUF	  at  MIA	2	27	15.473214285714	3.7487136399146		
17	Nick Folk	NYJ	  vs.  PHI	3	27	16.279279279279	4.2894615701324		
18	Josh Lambo	SD	  at  MIN	8	31	16.333333333333	3.6275555349518		
19	Greg Zuerlein	LA	  	1	30	18.175675675676	5.5734847852641		
20	Andrew Franks	MIA	  vs.  BUF	7	27	17.227722772277	3.3944660500186		
21	Mike Nugent	CIN	  at  BAL	6	27	18.525423728814	5.1563879494139		
22	Robbie Gould	CHI	  at  SEA	3	32	20.811764705882	5.9299719623324		
23	Randy Bullock	FA		7	29	19.254901960784	5.5301070345806		
24	Phil Dawson	SF	  at  ARI	1	30	19.984375	5.2574119925468		
25	Zach Hocker	CIN	  at  BAL	9	32	22	7.1571285999288		
26	Cairo Santos	KC	  at  GB	9	32	21.22	5.1934189124314		
27	Sebastian Janikowski	OAK	  at  CLE	9	31	21.714285714286	5.3794772525036		
28	Kyle Brindza	FA		9	32	26.225	5.6986292211373		
29	Ryan Succop	TEN	  vs.  IND	12	32	25.454545454545	5.199597356736		
30	Travis Coons	CLE	  vs.  OAK	15	31	25.891891891892	4.560605600989		
31	Jason Myers	JAC	  at  NE	16	32	29.1875	3.3395125018481		
32	Dustin Hopkins	WAS	  at  NYG	17	32	26	3.9594721055765		
33	Kai Forbath	NO	  at  CAR	17	27	20.666666666667	4.4969125210773		
