 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Miami Dolphins	MIA	  at  JAC	1	10	2	1.6007810593582		
2	Los Angeles Rams	LA	  	1	24	2.3984375	2.3430076949498		
3	Baltimore Ravens	BAL	  at  OAK	1	17	4.234375	2.9354630570619		
4	Carolina Panthers	CAR	  vs.  HOU	1	21	4.8046875	2.8064061586563		
5	Houston Texans	HOU	  at  CAR	1	25	5.3203125	3.1842718794638		
6	Arizona Cardinals	ARI	  at  CHI	3	20	7.7421875	3.0084414926742		
7	Denver Broncos	DEN	  at  KC	3	31	7.7734375	4.8318844081366		
8	Seattle Seahawks	SEA	  at  GB	3	30	10.015873015873	4.6971523406059		
9	Cincinnati Bengals	CIN	  vs.  SD	5	23	10.9765625	3.4965716328418		
10	Buffalo Bills	BUF	  vs.  NE	2	24	11.190476190476	3.3705406417498		
11	Tennessee Titans	TEN	  at  CLE	2	30	11.392	4.5919860626966		
12	Kansas City Chiefs	KC	  vs.  DEN	2	32	11.664	5.2793090456991		
13	New England Patriots	NE	  at  BUF	4	32	13.362903225806	3.7445329555434		
14	Green Bay Packers	GB	  vs.  SEA	4	32	14.766129032258	4.229521575491		
15	Cleveland Browns	CLE	  vs.  TEN	4	27	16.050420168067	3.6017006708801		
16	Minnesota Vikings	MIN	  vs.  DET	4	32	16.325	3.6632465109517		
17	Indianapolis Colts	IND	  vs.  NYJ	6	26	15.982905982906	3.4886455775157		
18	New York Jets	NYJ	  at  IND	4	29	16.699115044248	4.8951573609573		
19	New Orleans Saints	NO	  vs.  TB	2	32	13.794871794872	6.6782443846034		
20	Washington Redskins	WAS	  vs.  STL	9	32	20.02	3.9924428612067		
21	Pittsburgh Steelers	PIT	  vs.  SF	9	31	20.479166666667	3.0103265557448		
22	Detroit Lions	DET	  at  MIN	2	32	17.648648648649	5.363622294662		
23	San Francisco 49ers	SF	  at  PIT	4	30	19.878378378378	4.6089006213967		
24	Philadelphia Eagles	PHI	  vs.  DAL	7	30	19.072463768116	4.7740811107045		
25	Jacksonville Jaguars	JAC	  vs.  MIA	15	32	23.963636363636	4.1119057132966		
26	Atlanta Falcons	ATL	  at  NYG	7	32	23.918367346939	5.9172412721825		
27	San Diego Chargers	SD	  at  CIN	13	32	24.625	3.9508701573198		
28	New York Giants	NYG	  vs.  ATL	10	32	26.279069767442	4.7216748181292		
29	Dallas Cowboys	DAL	  at  PHI	19	32	26.644444444444	3.5412211048705		
30	Tampa Bay Buccaneers	TB	  at  NO	6	32	28.044444444444	5.4607917844925		
31	Oakland Raiders	OAK	  vs.  BAL	7	32	27.837209302326	4.729571653539		
32	Chicago Bears	CHI	  vs.  ARI	16	32	27.714285714286	3.5809397162897		
