 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Rob Gronkowski	NE	  at  NYG	1	2	1.0151515151515	0.12215542042877		
2	Greg Olsen	CAR	  at  TEN	2	6	2.4621212121212	0.73242336480182		
3	Tyler Eifert	CIN	  vs.  HOU	2	7	3.0530303030303	0.90716336054654		
4	Jordan Reed	WAS	  vs.  NO	1	11	4.1060606060606	1.5088505345861		
5	Travis Kelce	KC	  at  DEN	4	13	6.6818181818182	1.6158222497229		
6	Delanie Walker	TEN	  vs.  CAR	4	13	6.9242424242424	1.7607729540676		
7	Gary Barnidge	CLE	  at  PIT	3	17	7.0909090909091	3.124814044054		
8	Martellus Bennett	NE	  at  NYG	4	16	8.3030303030303	1.9807382842256		
9	Jimmy Graham	SEA	  vs.  ARI	3	19	8.2977099236641	2.2023396874828		
10	Benjamin Watson	BAL	  vs.  JAC	4	15	9.4848484848485	2.0651687453426		
11	Eric Ebron	DET	  at  GB	4	18	11.396946564885	2.4825479072212		
12	Jason Witten	DAL	  at  TB	7	19	12.666666666667	2.1272640939132		
13	Charles Clay	BUF	  at  NYJ	7	21	13.834645669291	2.2994822406875		
14	Richard Rodgers	GB	  vs.  DET	5	23	14.396946564885	2.8113167959011		
15	Julius Thomas	JAC	  at  BAL	6	21	14.625954198473	2.441173156411		
16	Crockett Gillmore	BAL	  vs.  JAC	5	33	15.92125984252	3.1563117597297		
17	Zach Ertz	PHI	  vs.  MIA	7	23	16.125	2.6339134382132		
18	Kyle Rudolph	MIN	  at  OAK	6	26	17.370078740157	3.4454195305988		
19	Jordan Cameron	MIA	  at  PHI	13	25	19.903225806452	2.0097317861439		
20	Owen Daniels	FA		11	28	20.90350877193	2.8653076080099		
21	Austin Seferian-Jenkins	TB	  vs.  DAL	7	71	21.979166666667	10.389276489353		
22	Vernon Davis	FA		15	32	22.810810810811	2.6896984442432		
23	Will Tye	NYG	  vs.  NE	15	30	24.336842105263	2.954427636494		
24	Clive Walford	OAK	  vs.  MIN	14	39	24.307692307692	3.1042059652279		
25	Scott Chandler	FA		16	35	26.337078651685	3.1620780403304		
26	Jermaine Gresham	ARI	  at  SEA	12	34	27.265060240964	3.0501208245845		
27	Jared Cook	GB	  vs.  DET	19	31	23.685185185185	2.3359039337971		
28	Brent Celek	PHI	  vs.  MIA	15	54	31.293103448276	6.1392143176122		
29	Cameron Brate	TB	  vs.  DAL	21	51	30.348837209302	7.2845287502373		
30	Josh Hill	NO	  at  WAS	21	42	30.525	3.9305692971884		
31	Ryan Griffin	HOU	  at  CIN	22	43	28.5	8.5		
32	Larry Donnell	NYG	  vs.  NE	23	71	32.428571428571	15.989792662438		
33	Mychal Rivera	OAK	  vs.  MIN	23	51	33.322580645161	6.6545502103118		
34	Lance Kendricks	LA	  	23	36	28.283333333333	2.8699109548711		
35	Darren Fells	ARI	  at  SEA	23	35	29.297872340426	2.305542753444		
36	Maxx Williams	BAL	  vs.  JAC	25	66	33.32	7.5244667585152		
37	Jeff Cumberland	FA		25	44	32.72	4.6261863343363		
38	Anthony Fasano	TEN	  vs.  CAR	25	37	28.875	2.8476964374736		
39	Brandon Myers	TB	  vs.  DAL	26	52	36.375	8.7669478725495		
40	Luke Willson	SEA	  vs.  ARI	26	40	32.789473684211	3.763801932375		
41	Garrett Graham	DEN	  vs.  KC	27	55	42.6875	9.0672401396456		
42	Derek Carrier	WAS	  vs.  NO	27	49	40.083333333333	6.4479755651591		
43	Dion Sims	MIA	  at  PHI	27	37	32.611111111111	2.3837153281028		
44	Troy Niklas	ARI	  at  SEA	28	67	44.888888888889	14.371611248449		
45	C.J. Fiedorowicz	HOU	  at  CIN	28	60	43.857142857143	8.4503350978116		
46	Rhett Ellison	MIN	  at  OAK	28	59	44.285714285714	9.617161531261		
47	Chris Gragg	BUF	  at  NYJ	28	55	39.125	5.2663436082352		
48	Virgil Green	DEN	  vs.  KC	29	61	40.7	8.7641314458422		
49	Marcedes Lewis	JAC	  at  BAL	29	56	40.35	6.467418341193		
50	Gavin Escobar	DAL	  at  TB	30	64	46	9.7159662411929		
51	Nick Boyle	BAL	  vs.  JAC	31	65	49.153846153846	9.7731669841157		
52	Ed Dickson	CAR	  at  TEN	31	64	42.733333333333	7.0848821836044		
53	Kellen Davis	NYJ	  vs.  BUF	32	67	51.875	9.0889699636427		
54	Jerome Cunningham	NYG	  vs.  NE	32	44	38.5	3.0413812651491		
55	MyCole Pruitt	MIN	  at  OAK	33	61	50.111111111111	8.5692531042928		
56	Jesse James	PIT	  vs.  CLE	33	58	46.8	8.5299472448544		
57	James O'Shaughnessy	KC	  at  DEN	33	39	36	3		
58	Tim Wright	DET	  at  GB	34	71	49.142857142857	11.102490987272		
59	Michael Hoomanawanui	NO	  at  WAS	34	53	44.666666666667	5.3593117302712		
60	Demetrius Harris	KC	  at  DEN	37	65	53.285714285714	8.6307471239961		
61	Jim Dray	BUF	  at  NYJ	38	63	51.4	9.3509357820488		
62	Jake Stoneburner	MIA	  at  PHI	40	49	44.5	4.5		
63	Craig Stevens	TEN	  vs.  CAR	41	55	48.6	4.3634848458543		
64	Justin Perillo	GB	  vs.  DET	42	68	51.25	7.7095719725546		
65	Clay Harbor	NE	  at  NYG	42	62	54	8.6409875978771		
66	Luke Stocker	TB	  vs.  DAL	44	66	51.5	8.6458082328953		
67	Lee Smith	OAK	  vs.  MIN	44	60	52	4.1952353926806		
68	Cory Harkey	LA	  	46	64	55	9		
69	James Hanna	DAL	  at  TB	47	62	54.8	5.8103356185336		
70	Cooper Helfet	SEA	  vs.  ARI	48	70	59	11		
71	Trey Burton	PHI	  vs.  MIA	50	56	53	3		
72	Zach Miller	FA		51	60	55.5	4.5		
73	Brandon Pettigrew	DET	  at  GB	52	57	55.777777777778	1.8121673811445		
74	Phillip Supernaw	TEN	  vs.  CAR	59	66	62.5	3.5		
75	Michael Williams	NE	  at  NYG	63	65	64	1		
