 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
1	Greg Olsen	CAR	  vs.  ATL	1	6	1.2615384615385	0.63915624854895		
2	Delanie Walker	TEN	  at  NYJ	1	10	3.3307692307692	1.6190617488983		
3	Travis Kelce	KC	  vs.  SD	1	11	4.0384615384615	1.9627447271373		
4	Tyler Eifert	CIN	  vs.  PIT	1	42	4.2076923076923	4.1726142955192		
5	Jordan Reed	WAS	  at  CHI	2	16	5.9692307692308	2.0863603256111		
6	Gary Barnidge	CLE	  vs.  SF	1	15	6.5461538461538	2.2226510105711		
7	Julius Thomas	JAC	  vs.  IND	1	18	7.4769230769231	2.5486508787543		
8	Antonio Gates	SD	  at  KC	2	20	8.8	3.0010254657623		
9	Austin Seferian-Jenkins	TB	  vs.  NO	1	23	9.8682170542636	3.6267307441926		
10	Benjamin Watson	BAL	  vs.  SEA	5	21	10.592307692308	2.4516749497378		
11	Rob Gronkowski	NE	  at  HOU	1	42	9.3055555555556	7.0177794490182		
12	Scott Chandler	FA		3	37	13.536	6.5733327924273		
13	Richard Rodgers	GB	  vs.  DAL	9	25	13.209302325581	2.3383371107441		
14	Jacob Tamme	ATL	  at  CAR	6	25	14.578125	2.9596488785623		
15	Zach Miller	CHI	  vs.  WAS	7	28	15.396694214876	3.4676291441995		
16	Jason Witten	DAL	  at  GB	9	28	16.08064516129	3.0759125952218		
17	Charles Clay	BUF	  at  PHI	7	27	16.761904761905	3.7361990944634		
18	Kyle Rudolph	MIN	  at  ARI	8	33	18.336134453782	3.6073624782033		
19	Will Tye	NYG	  at  MIA	8	29	18.833333333333	3.8750589506929		
20	Coby Fleener	NO	  at  TB	7	31	20.752212389381	4.6287500433422		
21	Eric Ebron	DET	  at  STL	12	32	20.260162601626	3.2027361228718		
22	Zach Ertz	PHI	  vs.  BUF	13	31	20.457142857143	3.4393481426367		
23	Owen Daniels	FA		8	33	22.822429906542	4.7847364093301		
24	Jordan Cameron	MIA	  vs.  NYG	16	32	24.407766990291	3.2183843658409		
25	Ladarius Green	PIT	  at  CIN	13	35	27.546666666667	4.7477526847505		
26	Vernon Davis	FA		13	36	26.393258426966	4.0851002972796		
27	Zach Miller	FA		12	14	13	1		
28	Luke Willson	SEA	  at  BAL	15	33	26.744444444444	3.3848062840061		
29	Crockett Gillmore	BAL	  vs.  SEA	17	77	25.565217391304	12.243280630816		
30	Blake Bell	SF	  at  CLE	14	38	28.384615384615	4.9230769230769		
31	Jared Cook	GB	  vs.  DAL	10	34	28.111111111111	3.3884334848838		
32	Maxx Williams	BAL	  vs.  SEA	17	41	27.755555555556	5.060327418285		
33	Ryan Griffin	HOU	  vs.  NE	19	31	25.313953488372	3.166913352759		
34	Brent Celek	PHI	  vs.  BUF	18	42	31.338235294118	4.4411521230342		
35	Clive Walford	OAK	  at  DEN	20	38	30.25	4.6246621498224		
36	Vance McDonald	SF	  at  CLE	21	77	29.25	14.56093518059		
37	Cooper Helfet	SEA	  at  BAL	22	56	39.428571428571	8.466018508588		
38	Darren Fells	ARI	  vs.  MIN	23	37	31.777777777778	3.8618104882184		
39	Cameron Brate	TB	  vs.  NO	25	58	40.315789473684	9.2511884390399		
40	Jesse James	PIT	  at  CIN	26	66	36.541666666667	9.5480328107708		
41	Dwayne Allen	IND	  at  JAC	27	44	35.4375	4.9493528617386		
42	Tyler Kroft	CIN	  vs.  PIT	28	70	43.5	12.810431017618		
43	Jermaine Gresham	ARI	  vs.  MIN	29	77	40.4	13.417898494176		
44	Virgil Green	DEN	  vs.  OAK	29	65	45.866666666667	10.429871630189		
45	Troy Niklas	ARI	  vs.  MIN	30	55	48.333333333333	7.3635740114582		
46	Mychal Rivera	OAK	  at  DEN	30	42	37	3.216803706625		
47	Garrett Graham	DEN	  vs.  OAK	32	66	49.333333333333	13.888444437333		
48	Rhett Ellison	MIN	  at  ARI	32	64	53.727272727273	9.9552718705482		
49	Josh Hill	NO	  at  TB	32	49	39.818181818182	3.7614837937413		
