 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
78	Roy Helu	OAK	  at  DET	57	92	72.2	8.0099937578003		
79	Antone Smith	FA		57	82	68.866666666667	5.5421616320309		
80	Juwan Thompson	DEN	  at  CHI	58	84	70.235294117647	8.5510880750017		
81	Donald Brown	NE	  vs.  BUF	58	74	69.214285714286	3.9311679730906		
82	Bishop Sankey	TEN	  at  JAC	59	92	68.441176470588	6.6650589180159		
83	Bruce Miller	SF	  at  SEA	60	79	72.153846153846	5.6411421899382		
84	Damien Williams	MIA	  vs.  DAL	62	87	69.333333333333	6.2494444197509		
85	Kenjon Barner	PHI	  vs.  TB	62	71	67	3.3911649915626		
86	Cameron Artis-Payne	CAR	  vs.  WAS	63	92	74.75	10.638961415477		
87	Terron Ward	ATL	  vs.  IND	63	84	75.375	7.1578191511102		
88	Fozzy Whittaker	CAR	  vs.  WAS	64	79	71.5	4.4777226354476		
89	John Kuhn	FA		66	80	72.3125	4.8051892522564		
90	Anthony Dixon	FA		68	80	71.4	4.454211490264		
91	Bobby Rainey	NYG	  	69	88	79.625	6.2437468718711		
92	Darrel Young	FA		69	86	77.5	6.0539243470661		
93	Akeem Hunt	HOU	  vs.  NYJ	70	72	70.666666666667	0.94280904158206		
94	Rex Burkhead	CIN	  at  ARI	71	88	79.6	4.6086874487212		
95	Ryan Hewitt	CIN	  at  ARI	71	83	77	6		
96	Patrick DiMarco	ATL	  vs.  IND	71	81	77.1	3.0479501308256		
97	Jalston Fowler	TEN	  at  JAC	73	87	80	5.7008771254957		
98	Alonzo Harris	FA		74	81	77.5	3.5		
99	Chase Reynolds	LA	  	76	78	77	1		
100	Tyler Clutts	FA		77	90	83.5	6.5		
101	Jay Prosch	HOU	  vs.  NYJ	77	88	82.8	3.6551333764994		
102	Tommy Bohanon	NYJ	  at  HOU	77	87	82	4.0824829046386		
103	Jorvorskie Lane	TB	  at  PHI	77	86	81.25	3.4910600109422		
104	Michael Burton	DET	  vs.  OAK	79	85	82	2.4494897427832		
105	Zach Line	MIN	  vs.  GB	79	80	79.5	0.5		
106	Anthony Sherman	KC	  at  SD	80	89	84.666666666667	3.6817870057291		
